"F","Company Name","Seniority Level","Company Location","Industry","Employment Type","Job Functions","position"
"Fortinet Specialist","ASTEK Polska","Mid-Senior level","Krakow Metropolitan Area","Information Technology & Services Computer Software Telecommunications","Full-time","Information Technology","JavaScript Developer",
"Fortinet Specialist","Raben Group","Entry level","Cholerzyn, PL","Logistics & Supply Chain","Full-time","Sales Business Development","Magazynier",
"Fortinet Specialist","Raben Group","Entry level","Cholerzyn, PL","Logistics & Supply Chain","Full-time","Sales Business Development","Magazynier",
"Fortinet Specialist","Step Ahead Inc.","Entry level","Niepołomice, PL","Education Management Automotive Staffing & Recruiting","Full-time","Other","03-21 NIDEC / Можно по биометрии.Приезд на 29-07-19 / 5 девочек.",
"Fortinet Specialist","Step Ahead Inc.","Entry level","Niepołomice, PL","Education Management Automotive Staffing & Recruiting","Full-time","Other","03-21 NIDEC / Можно по биометрии.Приезд на 29-07-19 / 5 девочек.",
"Fortinet Specialist","Gibbs Hybrid","Mid-Senior level","Krakow Metropolitan Area","Information Technology & Services","Contract","Administrative Finance Sales","Sales Operations Analyst",
"Fortinet Specialist","Gibbs Hybrid","Mid-Senior level","Krakow Metropolitan Area","Information Technology & Services","Contract","Administrative Finance Sales","Sales Operations Analyst",
"Fortinet Specialist","Green Cell","Entry level","Skawina, PL","Electrical & Electronic Manufacturing Consumer Electronics Consumer Goods","Full-time","Information Technology","Inżynier wsparcia R&D (elektronik)",
"Fortinet Specialist","Green Cell","Entry level","Skawina, PL","Electrical & Electronic Manufacturing Consumer Electronics Consumer Goods","Full-time","Information Technology","Inżynier wsparcia R&D (elektronik)",
"Fortinet Specialist","Takeaway.com","Entry level","Wieliczka, PL","Sports Food & Beverages Transportation/Trucking/Railroad","Full-time","Management Manufacturing","Kurier Krakow",
"Fortinet Specialist","Takeaway.com","Entry level","Wieliczka, PL","Sports Food & Beverages Transportation/Trucking/Railroad","Full-time","Management Manufacturing","Kurier Krakow",
"Fortinet Specialist","Apex Systems","Mid-Senior level","Krakow Metropolitan Area","Computer Software Information Technology & Services","Full-time","Information Technology","Incident Manager CloudOps",
"Fortinet Specialist","The Alternative Board (Worldwide)","Mid-Senior level","Krakow Metropolitan Area","Management Consulting","Full-time","Business Development","Business / Franchise Partner",
"Fortinet Specialist","The Adecco Group","Mid-Senior level","Krakow Metropolitan Area","Human Resources Consumer Goods","Full-time","Management Other","Regionalny Koordynator Zespołu Retail",
"Fortinet Specialist","REGESTA SA","Mid-Senior level","Tarnów, PL","Transportation/Trucking/Railroad","Full-time","Other","Aplikacja spontaniczna",
"Fortinet Specialist","HR Contact","Entry level","Andrychów, PL","Human Resources","Full-time","Research Analyst Information Technology","Magister Farmacji",
"Fortinet Specialist","intive","Mid-Senior level","Krakow Metropolitan Area","Information Technology & Services","Full-time","Information Technology","Technical Leader Automotive",
"Fortinet Specialist","Herbalife Nutrition","Associate","Krakow Metropolitan Area","Health, Wellness & Fitness","Full-time","Finance Accounting/Auditing","Senior Specialist, Finance and Compliance",
"Fortinet Specialist","CXC Global","Mid-Senior level","Krakow Metropolitan Area","Information Technology & Services","Contract","Information Technology Engineering","SCCM Engineer",
"Fortinet Specialist","CXC Global","Mid-Senior level","Krakow Metropolitan Area","Information Technology & Services","Contract","Information Technology Engineering","SCCM Engineer",
"Fortinet Specialist","Interteam, S.A. de C.V.","Entry level","Wieliczka, PL","Logistics & Supply Chain","Full-time","Sales Business Development","Przedstawiciel Handlowy",
"Fortinet Specialist","Interteam, S.A. de C.V.","Entry level","Wieliczka, PL","Logistics & Supply Chain","Full-time","Sales Business Development","Przedstawiciel Handlowy",
"Fortinet Specialist","EPAM Systems","Mid-Senior level","Krakow Metropolitan Area","Information Technology & Services","Full-time","Engineering Information Technology","System Engineer",
"Fortinet Specialist","EPAM Systems","Mid-Senior level","Krakow Metropolitan Area","Information Technology & Services","Full-time","Engineering Information Technology","System Engineer",
"Fortinet Specialist","Promedica24","Mid-Senior level","Wadowice, PL","Insurance Financial Services Accounting","Full-time","Other","Niemcy praca w opiece, z językiem niemieckim!",
"Fortinet Specialist","Promedica24","Mid-Senior level","Wadowice, PL","Insurance Financial Services Accounting","Full-time","Other","Niemcy praca w opiece, z językiem niemieckim!",
"Fortinet Specialist","Aelia","Entry level","Zabierzów, PL","Logistics & Supply Chain","Full-time","Sales Business Development","Magazynier Kraków",
"Fortinet Specialist","Aelia","Entry level","Zabierzów, PL","Logistics & Supply Chain","Full-time","Sales Business Development","Magazynier Kraków",
"Fortinet Specialist","ALTEN","Entry level","Krakow Metropolitan Area","Logistics & Supply Chain","Full-time","Sales Business Development","Frontend Developer",
"Fortinet Specialist","ALTEN","Mid-Senior level","Krakow Metropolitan Area","Information Technology & Services","Full-time","Information Technology","Frontend Developer",
"Fortinet Specialist","FEV Europe GmbH","Entry level","Liszki, PL","Electrical & Electronic Manufacturing Automotive Mechanical Or Industrial Engineering","Full-time","Engineering Information Technology","Commissioning Technician",
"Fortinet Specialist","FEV Europe GmbH","Entry level","Liszki, PL","Electrical & Electronic Manufacturing Automotive Mechanical Or Industrial Engineering","Full-time","Engineering Information Technology","Commissioning Technician",
"Fortinet Specialist","Zakład Kowalski","Entry level","Wieliczka, PL","Marketing & Advertising","Full-time","Management Manufacturing","Elektryk (ekipa elektryków)",
"Fortinet Specialist","teamtechnik Group","Entry level","Skawina, PL","Construction Industrial Automation Mechanical Or Industrial Engineering","Full-time","Engineering Information Technology","Automation Engineer",
"Fortinet Specialist","teamtechnik Group","Entry level","Skawina, PL","Construction Industrial Automation Mechanical Or Industrial Engineering","Full-time","Engineering Information Technology","Automation Engineer",
"Fortinet Specialist","Vladex B.V.","Entry level","Liszki, PL","Food & Beverages","Full-time","Other","Kamieniarz",
"Fortinet Specialist","REGIS Sp. z o.o.","Mid-Senior level","Kłaj, Małopolskie, Poland","Import & Export","Full-time","Sales","Specjalista ds. sprzedaży międzynarodowej – j. niemiecki",
"Fortinet Specialist","Excelian | Luxoft Financial Services","Mid-Senior level","Krakow Metropolitan Area","Information Technology & Services","Full-time","Information Technology","Senior Integration DevOPS",
"Fortinet Specialist","IG","Executive","Krakow Metropolitan Area","Financial Services","Full-time","Information Technology Other","Infrastructure Architect",
"Fortinet Specialist","Kolporter Holding Sp. z o.o.","Executive","Trzciana, PL","Logistics & Supply Chain","Full-time","Other","Ajent Saloniku Kolportera-Trzciana",
"Fortinet Specialist","Gminna Biblioteka Publiczna","Entry level","Zakrzów, PL","Staffing & Recruiting Retail Consumer Services","Full-time","Management Manufacturing","Piekarz",
"Fortinet Specialist","Agencja Zatrudnienia Sidrom Sp. z o.o.","Associate","Myślenice, PL","Staffing & Recruiting","Full-time","Information Technology","Team Leader na Produkcji",
"Fortinet Specialist","THR Sp. z o.o.","Associate","Zabierzów, PL","Staffing & Recruiting","Full-time","Other","Praca dla magazyniera- umowa o pracę- 9-17!",
"Fortinet Specialist","PROFI CREDIT Polska S.A.","Associate","Wieliczka, PL","Staffing & Recruiting Retail Consumer Services","Full-time","Other","Jesteś Agentem ubezpieczeniowym?",
"Fortinet Specialist","PROFI CREDIT Polska S.A.","Associate","Wieliczka, PL","Staffing & Recruiting Retail Consumer Services","Full-time","Other","Jesteś Agentem ubezpieczeniowym?",
"Fortinet Specialist","Elsta","Entry level","Wieliczka, PL","Electrical & Electronic Manufacturing","Full-time","Management Manufacturing","Elektromonter",
"Fortinet Specialist","KS Service sp. z o.o.","Associate","Myślenice, PL","Information Technology & Services Computer Software Staffing & Recruiting","Full-time","Information Technology","Team Leader na Produkcji",
"Fortinet Specialist","Guidewire Software","Mid-Senior level","Krakow Metropolitan Area","Computer Software Internet Information Technology & Services","Full-time","Product Management Engineering","Software Engineer",
