latitude,longitude,salary_low,salary_high
50.0600,19.9600,16000,20000
51.1104,17.0300,8000,12000
50.0600,19.9600,10000,18000
52.4058,16.8999,4200,7000
51.1104,17.0300,10000,17000
51.1104,17.0300,16000,26000
50.2604,19.0200,8000,15000
39.8936,-83.4375,15000,21000
51.7750,19.4514,11000,16000
54.3600,18.6400,14000,19000
47.5000,19.0833,800000,1200000
50.2604,19.0200,11000,17000
53.1504,23.1700,11000,17000
51.1104,17.0300,12000,16000
50.0600,19.9600,12800,125
50.0600,19.9600,10000,15000
50.0600,19.9600,22400,180
51.1104,17.0300,12000,16000
54.3600,18.6400,14000,19000
52.4058,16.8999,10400,115
50.0600,19.9600,15000,18000
52.4058,16.8999,12000,16000
51.1104,17.0300,13760,130
51.1104,17.0300,12000,16000
50.0600,19.9600,10000,18000
51.1104,17.0300,17000,19500
50.0600,19.9600,5760,72
50.0600,19.9600,7000,13000
53.1504,23.1700,7000,13000
51.7750,19.4514,7000,13000
54.3600,18.6400,9000,14000
50.2604,19.0200,11000,13000
51.1104,17.0300,11000,13000
47.6211,-122.3244,16000,19000
53.1204,18.0100,16000,19000
50.0705,22.0000,16000,19000
50.0600,19.9600,8000,10000
50.0705,22.0000,8000,10000
51.1104,17.0300,9000,16000
53.1204,18.0100,10000,14000
50.0600,19.9600,6000,11000
51.1104,17.0300,9000,12000
51.2504,22.5727,10000,15000
50.0600,19.9600,17920,130
51.1104,17.0300,14000,18000
51.1104,17.0300,7500,13000
50.0600,19.9600,14000,23000
46.2504,20.1500,650000,850000
50.0600,19.9600,7000,12000
54.3600,18.6400,10000,14000
50.0600,19.9600,12500,18500
51.1104,17.0300,18000,20000
50.0600,19.9600,14000,18000
53.1504,23.1700,9500,18000
52.4058,16.8999,8000,13000
51.2504,22.5727,8000,13000
54.3600,18.6400,13000,18000
54.3600,18.6400,8000,14000
53.1204,18.0100,11000,22000
51.7750,19.4514,11000,22000
53.4204,14.5300,11000,22000
50.0705,22.0000,11000,22000
54.3600,18.6400,16000,20000
50.0600,19.9600,11200,85
47.6211,-122.3244,16000,22000
53.1204,18.0100,16000,22000
50.0705,22.0000,16000,22000
50.0600,19.9600,14000,18000
53.1204,18.0100,16500,22000
51.7750,19.4514,16500,22000
53.4204,14.5300,16500,22000
50.0705,22.0000,16500,22000
50.0600,19.9600,9000,18000
50.2604,19.0200,9000,18000
51.1104,17.0300,3500,5000
50.2604,19.0200,14000,20000
52.4058,16.8999,9000,13000
51.1104,17.0300,14700,17850
51.1104,17.0300,5000,10000
51.1104,17.0300,15000,18000
51.1104,17.0300,8000,12000
50.6850,17.9313,8000,12000
51.1104,17.0300,14000,18000
39.8936,-83.4375,14000,18000
50.0600,19.9600,9000,12000
54.3600,18.6400,11000,18000
52.4058,16.8999,11000,18000
50.0600,19.9600,15000,25000
51.1104,17.0300,10000,15000
51.1104,17.0300,10000,15000
51.1104,17.0300,7000,11000
51.1104,17.0300,8000,12000
51.1104,17.0300,8000,12000
50.0600,19.9600,9000,15000
50.0600,19.9600,8000,15000
53.1504,23.1700,8000,15000
51.1104,17.0300,8000,15000
50.0600,19.9600,10000,13000
54.3600,18.6400,10000,13000
51.1104,17.0300,10000,12500
51.7750,19.4514,10000,12500
50.2604,19.0200,7000,11000
52.4058,16.8999,7000,10000
50.0600,19.9600,7000,10000
50.0600,19.9600,7000,14000
52.4058,16.8999,11000,15000
50.2604,19.0200,7000,9000
53.4204,14.5300,8000,12000
51.1104,17.0300,8000,14000
51.2504,22.5727,17600,136
52.4058,16.8999,17600,136
50.0600,19.9600,14000,20000
51.1104,17.0300,8000,16000
52.4058,16.8999,8000,16000
50.0600,19.9600,12000,17000
52.4058,16.8999,11500,17750
54.3600,18.6400,11500,17750
51.1104,17.0300,11500,17750
53.1504,23.1700,11500,17750
50.2604,19.0200,11500,17750
51.7750,19.4514,11500,17750
50.0600,19.9600,11500,17750
50.0705,22.0000,11500,17750
54.3600,18.6400,14000,20000
47.5000,19.0833,600000,1200000
47.5305,21.6300,600000,1200000
50.0600,19.9600,17000,23000
50.0600,19.9600,11000,15000
51.1104,17.0300,11000,15000
51.7750,19.4514,5500,7600
54.3600,18.6400,12800,100
47.5000,19.0833,650000,900000
50.0600,19.9600,11000,18000
54.3600,18.6400,11000,18000
50.3304,18.6700,8000,15000
54.5204,18.5300,14000,18000
51.1104,17.0300,14000,18000
52.4058,16.8999,14000,18000
54.3600,18.6400,19840,134
51.1104,17.0300,11500,17500
51.1104,17.0300,15000,20000
52.4058,16.8999,6000,11000
39.8936,-83.4375,19000,22000
50.0600,19.9600,10000,13000
51.1104,17.0300,6000,12000
50.0600,19.9600,17000,23000
51.7750,19.4514,17000,23000
51.1104,17.0300,17000,23000
50.0600,19.9600,12000,14000
46.2504,20.1500,800000,1100000
50.0600,19.9600,13000,15000
51.7750,19.4514,16000,130
52.4058,16.8999,12600,15456
50.0600,19.9600,20800,147
54.3600,18.6400,20800,147
51.1104,17.0300,20800,147
51.1104,17.0300,4000,6000
50.3304,18.6700,6700,10800
52.4058,16.8999,9700,15800
47.6211,-122.3244,14000,19000
51.7750,19.4514,8000,14000
51.1104,17.0300,15500,17600
52.4058,16.8999,14000,20000
50.0600,19.9600,14000,18000
50.0600,19.9600,9000,13000
54.3600,18.6400,3000,6000
50.2604,19.0200,8000,15000
52.4058,16.8999,12500,17000
51.2504,22.5727,12500,17000
53.1504,23.1700,18000,22000
50.0600,19.9600,13000,16000
50.3304,18.6700,9000,13000
50.0600,19.9600,12000,20000
50.0600,19.9600,7000,12000
51.7750,19.4514,7000,12000
53.1504,23.1700,7000,12000
54.3600,18.6400,8000,11000
50.0600,19.9600,18000,21000
54.5204,18.5300,4500,7000
52.4058,16.8999,6500,10500
50.0600,19.9600,6500,10500
54.3600,18.6400,6500,10500
51.1104,17.0300,6500,10500
53.1504,23.1700,6500,10500
50.0705,22.0000,6500,10500
51.7750,19.4514,6500,10500
50.2604,19.0200,6500,10500
52.4058,16.8999,4000,7000
52.4058,16.8999,11000,14000
50.0600,19.9600,12000,16000
46.0804,18.2200,520000,680000
54.5204,18.5300,7000,10000
53.8000,20.4800,7000,10000
54.3600,18.6400,7000,10000
51.1104,17.0300,6000,12000
50.0600,19.9600,12500,25000
50.0600,19.9600,11000,19000
51.1104,17.0300,14000,16000
50.0600,19.9600,14000,16000
53.1504,23.1700,3800,4100
52.4058,16.8999,14000,18000
51.1104,17.0300,7000,11000
53.1204,18.0100,12000,16000
51.1104,17.0300,9000,13200
52.4058,16.8999,9000,13200
50.3304,18.6700,12000,15000
50.3304,18.6700,4000,8000
51.1104,17.0300,15750,17850
53.1504,23.1700,8000,12000
51.7750,19.4514,14000,21000
50.2604,19.0200,9000,15000
51.1104,17.0300,8000,15500
51.1104,17.0300,5000,9000
50.0600,19.9600,8000,12000
51.1104,17.0300,19200,140
51.1104,17.0300,16000,20800
54.3600,18.6400,8000,16000
54.3600,18.6400,5500,10500
52.4058,16.8999,8000,16000
52.4058,16.8999,16000,19000
54.5204,18.5300,6000,10000
54.3600,18.6400,6000,10000
53.8000,20.4800,6000,10000
46.2504,20.1500,400000,700000
46.9000,19.7000,400000,700000
51.7750,19.4514,7000,10000
50.0600,19.9600,12000,16000
50.0600,19.9600,18000,24000
50.2604,19.0200,18000,24000
50.0600,19.9600,6000,9000
53.4204,14.5300,6000,9000
51.1104,17.0300,6000,9000
50.0600,19.9600,10000,15000
51.7750,19.4514,4000,5000
50.0600,19.9600,14500,15500
50.0600,19.9600,10000,15000
50.0600,19.9600,10000,14000
50.2604,19.0200,15000,22000
54.3600,18.6400,17600,118
50.2604,19.0200,14000,18000
53.1504,23.1700,14000,18000
54.5204,18.5300,14000,18000
50.0600,19.9600,10600,18900
53.1504,23.1700,10600,18900
51.1104,17.0300,10600,18900
50.0600,19.9600,6000,12000
51.7750,19.4514,6000,12000
53.1504,23.1700,6000,12000
32.5359,-82.9279,11000,14000
51.1104,17.0300,11200,120
51.1104,17.0300,13000,14000
51.1104,17.0300,16000,21000
51.1104,17.0300,11000,19200
51.1104,17.0300,15000,20000
50.0600,19.9600,15000,20000
51.1104,17.0300,10000,12500
51.7750,19.4514,10000,12500
51.7750,19.4514,8000,15000
50.0600,19.9600,7000,13000
53.1504,23.1700,7000,13000
51.7750,19.4514,7000,13000
53.0358,18.6048,9000,14000
50.0600,19.9600,13000,17000
50.0600,19.9600,7000,14000
51.2504,22.5727,17600,155
52.4058,16.8999,17600,155
54.3600,18.6400,12000,18000
50.0600,19.9600,6000,11000
47.5000,19.0833,600000,1000000
47.5000,19.0833,900000,1100000
50.0600,19.9600,9500,17500
50.0600,19.9600,14000,21000
50.0600,19.9600,13000,16000
51.1104,17.0300,12000,18000
51.1104,17.0300,13000,17500
51.7750,19.4514,16000,120
51.7750,19.4514,7000,9000
50.0600,19.9600,10000,14000
50.2604,19.0200,8000,14000
50.0600,19.9600,9000,15000
47.5000,19.0833,400000,550000
52.4058,16.8999,8400,15200
47.5000,19.0833,800000,1200000
39.8936,-83.4375,15000,19000
50.0600,19.9600,11000,16000
50.0600,19.9600,14000,22000
50.2604,19.0200,12000,18000
46.2504,20.1500,650000,800000
52.4058,16.8999,14000,18000
51.1104,17.0300,22500,24000
50.0600,19.9600,15000,19000
51.2504,22.5727,15000,19000
50.0600,19.9600,12000,18500
54.3600,18.6400,12000,18500
50.2604,19.0200,16000,125
53.0358,18.6048,9000,15000
51.7750,19.4514,11000,22000
53.1204,18.0100,11000,22000
53.4204,14.5300,11000,22000
51.1104,17.0300,6000,8000
52.4058,16.8999,8000,15000
47.5000,19.0833,500000,700000
54.3600,18.6400,13000,16000
51.1104,17.0300,17500,20000
51.1104,17.0300,15000,17000
50.0600,19.9600,12800,125
51.1104,17.0300,8000,13000
50.0600,19.9600,7500,14000
51.2504,22.5727,6000,12000
51.1104,17.0300,16000,26000
50.0600,19.9600,18000,26000
53.1504,23.1700,15000,23000
52.4058,16.8999,13000,18000
51.1104,17.0300,7000,12000
51.1104,17.0300,17600,125
50.0600,19.9600,14000,18000
52.4058,16.8999,4000,6000
50.0600,19.9600,21000,31500
50.0600,19.9600,10000,13000
53.4204,14.5300,10000,13000
51.1104,17.0300,10000,13000
54.3600,18.6400,11500,16000
51.1104,17.0300,5500,8000
50.0600,19.9600,15000,18000
50.2604,19.0200,15000,18000
51.1104,17.0300,10000,14000
50.0600,19.9600,8000,15000
52.4058,16.8999,16000,22000
50.2604,19.0200,12800,100
50.0600,19.9600,10200,18880
53.1504,23.1700,10200,18880
51.1104,17.0300,10200,18880
50.0600,19.9600,11000,16000
53.4204,14.5300,10000,14000
51.1104,17.0300,9000,13000
47.5000,19.0833,800000,1300000
54.3600,18.6400,19200,134
52.4058,16.8999,8000,14000
47.6211,-122.3244,16000,19000
53.1204,18.0100,10000,15000
53.4204,14.5300,10000,15000
50.0600,19.9600,15000,18500
53.1504,23.1700,12000,18000
52.4058,16.8999,12800,100
51.1104,17.0300,8000,14000
51.1104,17.0300,6000,12000
50.2604,19.0200,14000,18000
50.0600,19.9600,16000,26000
50.0600,19.9600,21000,31500
51.7750,19.4514,7800,12000
54.5204,18.5300,11000,17000
50.0600,19.9600,16000,112
52.4058,16.8999,8000,14000
53.1504,23.1700,10000,14000
50.0600,19.9600,10000,13000
50.0705,22.0000,10000,13000
50.0600,19.9600,5000,7000
50.0600,19.9600,8000,12000
51.1104,17.0300,14000,20000
54.3600,18.6400,17600,130
54.3600,18.6400,15960,21600
50.2604,19.0200,10000,18000
50.0600,19.9600,11000,13000
52.4058,16.8999,8000,16000
51.2504,22.5727,8000,16000
51.2504,22.5727,15000,20000
53.1504,23.1700,15000,20000
53.0358,18.6048,15000,20000
53.1204,18.0100,15000,20000
51.7750,19.4514,15000,20000
51.1104,17.0300,10000,18000
50.0600,19.9600,10000,16000
46.0804,18.2200,520000,680000
50.0600,19.9600,11000,14000
47.5000,19.0833,425000,520000
50.0600,19.9600,12000,18000
50.0600,19.9600,10000,18000
54.5204,18.5300,15000,17000
54.5204,18.5300,19200,134
52.4058,16.8999,11000,18000
50.0600,19.9600,10000,17000
50.0600,19.9600,14000,19000
50.8904,20.6600,14000,19000
50.0705,22.0000,14000,19000
51.1104,17.0300,14000,18000
54.3600,18.6400,14000,18000
50.0600,19.9600,17000,24000
51.7750,19.4514,19040,136
50.0600,19.9600,9000,14000
52.4058,16.8999,7000,14000
51.1104,17.0300,10000,15000
51.1104,17.0300,12800,140
50.2604,19.0200,3500,5000
50.0600,19.9600,16000,20000
50.0600,19.9600,11250,14300
50.0600,19.9600,7000,10000
51.1104,17.0300,7000,10000
50.3304,18.6700,8500,12500
50.2604,19.0200,8500,12500
50.2604,19.0200,12000,18000
53.1504,23.1700,12000,18000
50.2604,19.0200,14000,20000
51.1104,17.0300,9000,14500
50.0600,19.9600,8000,13000
46.0804,18.2200,300000,450000
51.1104,17.0300,16500,21500
50.0600,19.9600,10000,12000
51.1104,17.0300,11000,15000
51.1104,17.0300,12800,125
50.2604,19.0200,6000,7000
51.1104,17.0300,15000,21000
50.0600,19.9600,12000,20000
52.4058,16.8999,12000,16000
51.1104,17.0300,12000,16000
51.2504,22.5727,9000,13500
51.1104,17.0300,18400,130
50.0600,19.9600,11000,15000
50.2604,19.0200,11000,15000
50.0600,19.9600,21840,25200
51.1104,17.0300,9000,17000
50.6850,17.9313,9000,17000
50.0600,19.9600,15000,17340
51.2504,22.5727,21760,155
52.4058,16.8999,21760,155
50.0600,19.9600,12800,100
50.0600,19.9600,16000,130
53.1204,18.0100,11000,16500
51.7750,19.4514,11000,16500
53.4204,14.5300,11000,16500
50.0705,22.0000,11000,16500
52.4058,16.8999,7000,14000
50.0600,19.9600,16000,160
52.4058,16.8999,6100,8300
50.0600,19.9600,9500,14000
50.0600,19.9600,7000,10000
