Role,Tags,Additional,Salary,Locations
Quality Assurance Engineer,"[' Selenium', ' JIRA', ' Manual testing', ' Test Automation', ' Object Oriented programming', ' English', ' Python', ' JavaScript', ' BDD', ' Page Object Pattern']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes ', ' Freedom to choose tools ': ' No '}", 6700 - 10800 PLN , Gliwice 
React Native Developer,"[' React', ' JavaScript', ' CSS', ' HTML', ' React Native', ' English', ' Polish', ' TypeScript']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (4 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 16000 - 22000 PLN , Warszawa 
Frontend Developer,"[' JavaScript', ' CSS', ' HTML', ' Linux', ' UX/UI design', ' English', ' Team player', ' Communication skills', ' Clean code', ' Git', ' Familiarity with Scrum', ' Familiarity with Jira', ' Problem solving', ' Proactivity', ' Taking Ownership', ' Eagerness to learn']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}", 9700 - 15800 PLN , Poznań 
Java Engineer,"[' Java', ' Spring', ' Git', ' REST', ' JUnit', ' SQL', ' AWS', ' Spring Boot', ' English', ' Polish', ' Team player', ' Communication skills', ' Jenkins', ' Docker', ' Linux', ' PostgreSQL', ' Elasticsearch', ' Scala', ' Apache Spark', ' Kotlin', ' Akka', ' Message queues', ' Leadership skills', ' Proactivity']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 80 - 150 PLN , Warszawa 
Machine Learning Developer,"[' Python', ' PostgreSQL', ' NLP', ' good understanding of architectures eg. autoencoder, ga...', ' understanding of business needs and processes', ' English', ' Team player', ' Positive attitude', ' high focus on date quality and usage', ' insight into IT security issues']","{' Start ': ' 2020-05-01 ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 14000 - 16000 PLN , Warszawa 
Android Developer,"[' Java', ' C++', ' android', ' SDK', ' NDK', ' OpenCV']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' A lot ', ' Relocation package ': ' Yes ', ' Freedom to choose tools ': ' Yes '}", 14000 - 19000 PLN ," Warszawa, Seattle "
Angular Developer,"[' Angular', ' JavaScript', ' Git', ' jQuery', ' Responsive Web Design', ' Ajax', ' Problem solving', ' CSS', ' HTML', ' Sass', ' REST', ' Less', ' RESTfull API', ' Cross Browser', ' SVN', ' GitHub', ' WebServices', ' GoogleAPI', ' Progressive Web Apps', ' English']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes ', ' Freedom to choose tools ': ' No '}", 8000 - 14000 PLN , Łódź 
.NET Architect,"[' .NET', ' Azure', ' SQL Server', ' JavaScript', ' TypeScript', ' OctopusDeploy', ' English', ' Team player', ' Communication skills', ' TeamCity', ' ServiceStack']","{' Start ': ' 2020-05-04 ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' No '}", 21336 - 25872 PLN , Gdańśk 
Senior Python Developer,"[' Python', ' Django', ' PostgreSQL', ' Git', ' REST', ' svn', ' algorithms', ' jenkins', ' English', ' Team player', ' Communication skills', ' Linux', ' AWS', ' Cloud', ' React']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 15500 - 17600 PLN , Wrocław 
Senior DevOps Engineer,"[' .NET', ' Azure', ' docker', ' git', ' Kubernates']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 14000 - 20000 PLN , Poznań 
