Role,Tags,Additional,Salary,Locations
Mid Data Analyst (REMOTE),"[' JIRA', ' Python', ' MS SQL', ' DataBase', ' Data Warehouses', ' Data analytics tools', ' Team player', ' Attention to detail', ' Analytical skills', ' Organizational skills', ' Polish', ' English', ' Critical thinking', ' Proactivity', ' R', ' Oracle', ' WD', ' SAS', ' Hive']","{' Start ': ' ASAP ', ' Contract duration ': ' Temporary contract (6 months) ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 100 - 115 PLN , Warszawa 
Remote Angular Developer,"[' Angular', ' JavaScript', ' CSS', ' React', ' jQuery', ' HTML5', ' Sass', ' Bootstrap', ' gulp', ' node', ' NPM', ' Team player', ' Problem solving']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes ', ' Possibility of B2B contract ': None}", 12000 - 16000 PLN , Kraków 
Programista .NET,"[' .NET', ' JavaScript', ' SQL', ' HTML', ' CSS', ' React', ' C#', ' LINQ', ' ORM Entity Framework']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 40 - 70 PLN , Warszawa 
Senior Java Developer,"[' Java', ' Spring', ' Hibernate', ' Communication skills', ' Critical thinking', ' Problem solving', ' Docker', ' Kubernetes', ' microservices']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 15000 - 20000 PLN , Warszawa 
Test Automation Engineer,"[' Selenium', ' BrowserStack', ' English', ' Communication skills', ' Java', ' Python', ' JavaScript', ' PHP', ' CI/CD']","{' Job profile ': ' Mainly customer support ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 10000 - 16000 PLN , Warszawa 
.NET Developer (backend),"[' .NET', ' WCF', ' WPF', ' Visual Studio', ' MS SQL', ' Web API', ' SSAS', ' English', ' Team player', ' Communication skills', ' Proactivity']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 700 - 950 PLN , Wrocław 
Fullstack PHP Developer,"[' PHP', ' Git', ' REST', ' PHPUnit', ' English', ' Team player', ' Communication skills', ' Critical thinking', ' SOLID', ' Symfony', ' Angular', ' CSS', ' React', ' TypeScript', ' Typo3', ' Laravel', ' vue.js', ' Problem solving', ' Proactivity']","{' Job profile ': ' Mainly new features ', ' Start ': ' 2020-05-04 ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}", 8000 - 10500 PLN , Gdańsk 
Senior Fullstack .NET Developer +Angular,"[' .NET', ' Entity Framework', ' WCF', ' REST', ' JavaScript', ' Angular', ' SQL', ' HTML', ' MS SQL', ' jQuery', ' C#', ' Polish', ' Team player', ' Communication skills', ' Critical thinking', ' Problem solving', ' Proactivity', ' Azure', ' TypeScript', ' React', ' Docker', ' Powershell', ' English', ' TeamCity']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes  (2000 PLN) ', ' Freedom to choose tools ': ' No '}", 120 - 140 PLN , Warszawa 
Senior FullStack Engineer,"[' Java', ' English', ' Team player', ' Communication skills', ' Leadership skills', ' Problem solving', ' Spring', ' React', ' kotlin']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 20000 - 25000 PLN , Warsaw 
Devops Engineer,"[' Linux', ' Docker', ' Intermediate Cloud', ' Basic: RoR/Python', ' English', ' Team player', ' Communication skills', ' Problem solving', ' Ansible', ' Jenkins', ' Terraform', ' AWS certification', ' GCP']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 6500 - 10500 PLN ," Poznań, Gdańsk, Wrocław, Warszawa, Kraków, Białystok, Katowice, Łódź, Rzeszów "
Senior Java Developer,"[' Java', ' Spring', ' Hibernate', ' Git', ' REST', ' Maven', ' JUnit', ' JPA', ' TDD', ' OOP', ' EDA', ' MongoDB', ' Polish', ' Team player', ' Communication skills', ' Leadership skills', ' Critical thinking', ' Problem solving', ' Proactivity', ' Docker', ' DDD', ' jQuery', ' React', ' Bitbucket Pipelines', ' Kafka', ' Pulsar']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 12000 - 18000 PLN ," Białystok, Warszawa "
PL/SQL Developer,"[' Oracle DB', ' MS SQL', ' Database', ' SQL Server', ' sql', ' PL SQL', ' English', ' Communication skills']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes ', ' Freedom to choose tools ': ' Yes '}", 10000 - 14500 PLN , Wrocław 
Java Developer,"[' Java', ' SQL', ' Git', ' Spring', ' Hibernate', ' Docker', ' English', ' REST', ' PostgreSQL', ' Kafka', ' AWS', ' Jenkins', ' Team player', ' Communication skills', ' Problem solving']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 50 - 95 PLN , Warsaw 
Kierownik Zespołu Big Data,"[' hadoop', ' hive', ' spark', ' sqoop', ' hortonworks-cloudera']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 16000 - 22000 PLN ," Warszawa, Warszawa "
Senior Frontend Developer,"[' React', ' JavaScript', ' CSS', ' HTML', ' Redux', ' Git', ' TypeScript', ' English', ' Communication skills', ' Critical thinking', ' Problem solving', ' Angular', ' Team player', ' Leadership skills', ' Proactivity']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 14000 - 18500 PLN , Kraków 
Senior Java Developer,"[' Java', ' Spring', ' Git', ' REST', ' Springboot', ' angular', ' Spring Reactor', ' Vavr', ' javascript']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes  (4000 PLN) ', ' Freedom to choose tools ': ' No '}",,
SQL Support Specialist,"[' SQL', ' Microsoft', ' English', ' Team player', ' Communication skills', ' Problem solving']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 5000 - 10000 PLN , Kraków 
Senior Backend Developer,"[' Java', ' Spring', ' Git', ' REST', ' SQL', ' microservices', ' English', ' Team player', ' Communication skills', ' Leadership skills', ' Critical thinking', ' Problem solving', ' Proactivity', ' JUnit', ' Docker', ' PostgreSQL', ' payments system designing']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 130 - 170 PLN , Kraków 
Senior Angular Developer,"[' JavaScript', ' Git', ' TypeScript', ' Angular', ' HTML', ' Team player', ' Gitlab']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No ', ' Rabaty pracownicze ': None, ' Budowa i rozwój zespołu IT ': None}", 6000 - 12000 PLN , Zielona góra 
Senior IOS Developer,"[' Swift', ' Git', ' REST', ' Xcode', ' MVVM', ' RxSwift', ' ios', ' English', ' Team player', ' Communication skills', ' Problem solving', ' Leadership skills', ' Critical thinking']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (3 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}", 17000 - 22000 PLN , Warsaw 
QA Engineer,"[' Selenium', ' Java', ' Python', ' JavaScript', ' REST', ' Maven', ' English', ' Jenkins', ' Linux', ' Docker', ' API']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' 30 % ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 14000 - 18000 PLN , Kraków 
.NET Developer -fullstack (Ref. no.:104),"[' .NET', ' MS SQL', ' Web API', ' C#', ' ASP.NET', ' Couchbase', ' Bitbucket', ' English', ' Team player', ' Teamcity', ' Agile', ' Docker', ' .Net Core', ' NServiceBus', ' Kafka', ' RabbitMq']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' No '}", 800k - 1M HUF , Budapest 
PHP Technical Solution Manager,"[' PHP', ' MySQL', ' Symfony', ' Docker', ' RabbitMQ', ' Redis', ' Google Cloud', ' PHPUnit', ' English', ' Team player', ' Communication skills', ' Leadership skills', ' Critical thinking', ' Problem solving', ' Proactivity', ' JavaScript', ' React', ' Redux']","{' Job profile ': ' Mainly customer support ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' No '}", 90 - 130 PLN , Poznań 
Backend Developer,"[' Node', ' Git', ' MongoDB', ' Docker', ' NoSQL', ' Elasticsearch', ' Rest API', ' microservices', ' Rust', ' Data', ' Blockchain']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 9000 - 18000 PLN , Kraków 
Azure Cloud Automation Ninja,"[' Docker', ' Azure', ' Azure DevOps', ' Automation Scripts', ' sql server', ' Windows server', ' Microsoft Azure PaaS', ' Powershell', ' test', ' English', ' Team player', ' Python', ' Puppet', ' ITIL', ' Communication skills']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' No '}", 130 - 165 PLN , Warsaw 
Senior Fullstack Java Engineer,"[' Java', ' Spring', ' Git', ' REST', ' HTML', ' CSS', ' React', ' TypeScript', ' microservices', ' unit test', ' design patterns', ' docker', ' English', ' Maven', ' redux', ' GitLab', ' Swagger', ' Google API', ' bdd', ' unix', ' Apache']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 119 - 150 PLN ," Katowice, Warszawa "
Junior Frontend Developer,"[' JavaScript', ' Git', ' CSS', ' HTML', ' Sass', ' Polish', ' REST', ' jQuery', ' Grunt', ' Angular', ' React', ' EmberJS', ' node', ' English']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +2 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 4000 - 7000 PLN , Kraków 
Technical Architect,"[' Node', ' JavaScript', ' React', ' Git', ' TypeScript', ' REST', ' CSS', ' HTML', ' Redux', ' relational databases', ' English', ' Team player', ' Communication skills', ' Leadership skills', ' Critical thinking', ' Problem solving', ' Proactivity', ' MongoDB', ' ECMAScript', ' PHP', ' Java', ' Python']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Relocation package ': ' Yes ', ' Freedom to choose tools ': ' Yes '}", 20000 - 30000 PLN ," Wrocław, Prague "
Remote Frontend Developer (React),"[' React', ' JavaScript', ' CSS', ' HTML', ' TypeScript', ' Sass', ' rwd', ' less', ' English', ' Communication skills', ' Self-organization', ' webpack', ' gulp', ' npm', ' grunt', ' Babel']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Temporary contract (1 year) ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 8000 - 11000 PLN , Warszawa 
Angular Developer,"[' Angular', ' JavaScript', ' CSS', ' HTML', ' TypeScript', ' English', ' Polish', ' Git', ' Team player', ' Communication skills', ' Critical thinking', ' Proactivity']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 650 - 850 PLN , Gdynia 
Cloud .NET Expert,"[' .NET', ' Entity Framework', ' Azure', ' REST', ' MS SQL', ' TypeScript', ' Docker', ' SCRUM', ' DDD', ' English', ' Polish', ' Team player', ' Communication skills', ' Critical thinking', ' Problem solving', ' Proactivity', ' React', ' CQRS', ' Service Bus']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Relocation package ': ' Yes  (5000 PLN) ', ' Freedom to choose tools ': ' Yes '}", 20000 - 22500 PLN , Gdańsk 
Fullstack Developer,"[' JavaScript', ' HTML', ' .NET', ' SQL', ' MVC', ' NHibernate', ' English', ' Git', ' REST', ' Unit test', ' WMQ Queues', ' DDD']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes  (4000 PLN) ', ' Freedom to choose tools ': ' No '}", 95 PLN , Wrocław 
Android Software Developer,"[' Java', ' Kotlin', ' Git', ' Gradle', ' android', ' English', ' Team player', ' Communication skills', ' Critical thinking', ' RxJava', ' Dagger', ' Retrofit', ' C++', ' JSON', ' MVVM']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}", 12000 - 18000 PLN , Warsaw 
Senior Scala Developer,"[' Scala', ' Akka', ' JVM', ' Docker', ' Kubernetes', ' Lagom', ' English', ' Team player', ' Communication skills']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}", 20000 - 24000 PLN , Warszawa 
Senior Java Developer,"[' Java', ' Spring', ' Hibernate', ' Maven', ' Elasticsearch', ' Communication skills', ' Critical thinking', ' Problem solving', ' JUnit', ' Docker', ' PostgreSQL', ' kafka', ' Proactivity']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 15000 - 20000 PLN , Warszawa 
Senior Frontend Developer,"[' React', ' JavaScript', ' CSS', ' HTML', ' English', ' Team player', ' Communication skills', ' Critical thinking', ' Problem solving', ' Proactivity', ' React', ' Redux', ' Angular', ' TypeScript', ' vue.js']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Relocation package ': ' Yes ', ' Freedom to choose tools ': ' No '}", 17000 - 21000 PLN , Kraków 
Software Engineering Manager,"[' Java', ' system integration', ' English', ' Communication skills', ' Leadership skills', ' Critical thinking', ' Problem solving', ' Proactivity', ' mulesoft', ' SAP', ' ABAP']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}", 17000 - 22000 PLN , Kraków 
Senior PHP Engineer,"[' PHP', ' MySQL', ' Git', ' REST', ' unit test', ' Polish', ' SOLID', ' clean code', ' Symfony', ' Docker', ' RabbitMQ', ' microservices', ' html', ' hexagonal architecture', ' software craftsmanship', ' Communication skills', ' Problem solving']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 11000 - 14000 PLN ," Katowice, Czechowice-dziedzice "
Senior Fullstack .NET Engineer,"[' .NET', ' JavaScript', ' Angular', ' TypeScript', ' MS SQL']","{' Job profile ': ' Mainly new features ', ' Start ': ' 2020-05-04 ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes  (4000 PLN) ', ' Freedom to choose tools ': ' No '}", 750 - 920 PLN , Kraków 
Big Data Developer,"[' Python', ' Hadoop', ' Java', ' Scala', ' Cloudera', ' English', ' Team player']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 800 - 1050 PLN , Wrocław 
Back-end Python Engineer,"[' Python', ' Git', ' REST', ' Docker', ' microservices', ' CI/CD', ' PEP8', ' English', ' Communication skills', ' Flask', ' Celery', ' Kafka', ' AMQP', ' SQS', ' SQLAlchemy', ' aws', ' aiohttp', ' GraphQL', ' Polish']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}", 12000 - 16000 PLN ," Wroclaw, Gdańsk, Warsaw "
PHP Developer,"[' PHP', ' Symfony', ' Git', ' PostgreSQL', ' PHP Unit', ' Docker', ' GitLab', ' Jira', ' Confluence', ' Angular 2+', ' JavaScript', ' CSS3', ' TypeScript', ' RESTfull API', ' Problem solving']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes ', ' Freedom to choose tools ': ' No '}", 7000 - 11000 PLN , Łódź 
Java Developer,"[' Java', ' Spring', ' REST', ' SQL', ' PostgreSQL', ' Polish', ' Hibernate', ' JPA', ' Docker', ' Elasticsearch', ' 2 years experience in java and spring', ' English']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 11000 - 13000 PLN , Lublin 
Google Cloud Platform Engineer,"[' Big Data', ' Google Cloud Platform', ' Linux / Unix', ' Windows', ' Communication skills', ' Critical thinking', ' Problem solving', ' English min. B2', ' Experience with Agile/DevOps environmet', ' SQL', ' Python', ' Scala', ' Spark', ' Java']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 600 - 1000 PLN , Kraków 
Ekspert ds. systemów EAM,"[' IBM Maximo', ' ABB Elipse', ' SSIS', ' ETL', ' Java', ' BI', ' Data Warehouse', ' Erwin Data Modeler', ' English']","{' Start ': ' 2020-04-01 ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' No '}", 15000 - 25000 PLN , Katowice 
Angular Developer,"[' Angular', ' JavaScript', ' CSS', ' HTML', ' TypeScript', ' Node.js', ' REST', ' json', ' xml']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 11000 - 16000 PLN , Warszawa 
Senior Java Developer (microservices),"[' Java', ' Hibernate', ' REST', ' microservices', ' CI/CD', ' RabbitMQ', ' tomcat', ' English', ' Team player', ' Communication skills', ' react']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 126 - 150 PLN , Warszawa 
Python Developer,"[' Python', ' Django', ' PostgreSQL', ' Git', ' REST', ' svn', ' algorithms', ' jenkins', ' English', ' Team player', ' Communication skills', ' Linux', ' AWS', ' Cloud', ' React']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 14400 - 17600 PLN , Wrocław 
Senior DevOps Engineer,"[' Linux', ' Docker', ' Python', ' Shell', ' AWS', ' Ansible', ' Git', ' Nginx', ' Kubernetes', ' Monitoring', ' CI/CD', ' Database configuration', ' English', ' Polish', ' Team player', ' Networking', ' Ability to consult clients', ' Terraform', ' Azure', ' GCP', ' Digital Ocean', ' Hashicorp Vault', ' EFK (Elasticsearch, Fluentd, Kibana)']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Relocation package ': ' Yes ', ' Freedom to choose tools ': ' Yes '}", 14000 - 18000 PLN , Wrocław 
