"Seniority Level","Industry","Company Name","Job Functions","Employment Type","Company Location","position"
"Entry level","Financial Services Investment Banking Computer & Network Security","Goldman Sachs","Engineering Information Technology Finance","Full-time","Warsaw, Masovian District, Poland","New Analyst Programme in Engineering Division - Warsaw (Recent Graduates)",
"Entry level","Computer Software Information Technology & Services Internet","Amazon Web Services (AWS)","Consulting Information Technology Engineering","Full-time","Warsaw, PL","Data Lake & Analytics - Consultant",
"Mid-Senior level","Electrical & Electronic Manufacturing Industrial Automation Mechanical Or Industrial Engineering","Danfoss","General Business Management Administrative","Full-time","Warsaw, PL","Transformation Lead (m/f/d)",
"Mid-Senior level","Law Enforcement","Frontex","Project Management Strategy/Planning","Full-time","Warsaw, Masovian District, Poland","Coordinator",
"Mid-Senior level","Management Consulting Staffing & Recruiting","Korn Ferry","Human Resources","Full-time","Warsaw, Mazowieckie, Poland","Recruitment Coordinator",
"Entry level","Telecommunications Consumer Electronics","Huawei Consumer Business Group","Administrative Finance Project Management","Full-time","Warsaw, Masovian District, Poland","Procurement Assistant",
"Mid-Senior level","Health, Wellness & Fitness","FOREO","Sales Business Development","Full-time","Warsaw Metropolitan Area","PR Manager",
"Mid-Senior level","Health, Wellness & Fitness","FOREO","Sales Business Development","Full-time","Warsaw Metropolitan Area","PR Manager",
"Entry level","Information Technology & Services Computer Software Financial Services","Devire","Engineering Information Technology","Full-time","Warsaw, PL","Tester Automatyzujący",
"Entry level","Information Technology & Services Computer Software Financial Services","Devire","Engineering Information Technology","Full-time","Warsaw, PL","Tester Automatyzujący",
"Mid-Senior level","Medical Device","Antal Poland","Marketing Sales","Full-time","Warsaw, Mazowieckie, Poland","Ecommerce Expert",
"Mid-Senior level","Banking","NatWest Markets","Information Technology","Full-time","Warsaw, PL","Team Lead",
"Mid-Senior level","Banking","NatWest Markets","Information Technology","Full-time","Warsaw, PL","Team Lead",
"Mid-Senior level","Banking","Urząd m.st. Warszawa","Other","Full-time","Warsaw, PL","Automatyk k/m",
