"Employment Type","Job Functions","Industry","Company Location","position","Company Name","Seniority Level"
"Full-time","Management Manufacturing","Design Printing Graphic Design","Rzgów, PL","Kelner","Miasto Mody Ptak","Entry level",
"Full-time","Education Training","Marketing & Advertising Public Relations & Communications Management Consulting","Łódź, PL","Nauczyciel przedmiotów ogólnokształcących","Centrum Nauki i Biznesu ŻAK","Entry level",
"Contract","Other","Aviation & Aerospace Mechanical Or Industrial Engineering Staffing & Recruiting","Łódź, PL","Asystentka Prezea","GRAVET CONSULTING SP. Z O.O.","Entry level",
"Contract","Other","Aviation & Aerospace Mechanical Or Industrial Engineering Staffing & Recruiting","Łódź, PL","Asystentka Prezea","GRAVET CONSULTING SP. Z O.O.","Entry level",
"Full-time","Management Manufacturing","Chemicals","Łódź, PL","Cluster Manager in OtC Logistics","Clariant","Associate",
"Full-time","Management Manufacturing","Chemicals","Łódź, PL","Cluster Manager in OtC Logistics","Clariant","Associate",
"Full-time","Engineering Information Technology","Pharmaceuticals","Łódź, PL","Programista Android","Pelion S.A.","Entry level",
"Full-time","Management Manufacturing","Electrical & Electronic Manufacturing","Łódź, PL","Operator","ABB","Entry level",
"Full-time","Management Manufacturing","Electrical & Electronic Manufacturing","Łódź, PL","Operator","ABB","Entry level",
"Full-time","Management Manufacturing","Electrical & Electronic Manufacturing Machinery Staffing & Recruiting","Łódź, PL","Supply Chain Forecasting Analyst","Whirlpool Corporation","Associate",
"Full-time","Management Manufacturing","Electrical & Electronic Manufacturing Machinery Staffing & Recruiting","Łódź, PL","Supply Chain Forecasting Analyst","Whirlpool Corporation","Associate",
"Full-time","Other","Information Technology & Services Staffing & Recruiting Financial Services","Łódź, PL","Znasz j DUNSKI– to zapraszamy do przesłania CV","PMSolutions","Associate",
"Full-time","Other","Information Technology & Services Staffing & Recruiting Financial Services","Łódź, PL","Znasz j DUNSKI– to zapraszamy do przesłania CV","PMSolutions","Associate",
"Full-time","Other","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Łódź, PL","Łódź - praca na hali","Global Spolka z o.o.","Associate",
"Full-time","Other","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Łódź, PL","Łódź - praca na hali","Global Spolka z o.o.","Associate",
"Full-time","Other","Mental Health Care","Brzeziny, PL","Nabór na stanowisko psychologa","POWIATOWE CENTRUM POMOCY RODZINIE W SWIDNIKU","Associate",
"Full-time","Other","Mental Health Care","Brzeziny, PL","Nabór na stanowisko psychologa","POWIATOWE CENTRUM POMOCY RODZINIE W SWIDNIKU","Associate",
"Full-time","Business Development","Banking Financial Services Investment Banking","Łódź, PL","Business Analyst, Lodz","Nordea","Associate",
"Full-time","Business Development","Banking Financial Services Investment Banking","Łódź, PL","Business Analyst, Lodz","Nordea","Associate",
"Full-time","Other","Staffing & Recruiting","Łódź, PL","Praca na magazynie - umowa o pracę/ 17,00 zł/h + dodatek, Łódź Widzew","Agencja Zatrudnienia Sidrom Sp. z o.o.","Associate",
"Full-time","Accounting/Auditing Finance","Electrical & Electronic Manufacturing Machinery Staffing & Recruiting","Łódź, PL","Accountant, Indirect Tax [Online Recruitment Process]","Barry Callebaut Group","Entry level",
"Full-time","Management Manufacturing","Electrical & Electronic Manufacturing","Łódź, PL","Monter/Nawijacz/Operator wózków i suwnic","ABB","Entry level",
"Full-time","Accounting/Auditing","Outsourcing/Offshoring Information Technology & Services","Łódź, Łódzkie, Poland","RtR Specialist with English","Infosys Poland","Associate",
"Full-time","Engineering Information Technology","Information Technology & Services Computer Software Internet","Łódź, PL","Front-end (Angular2+) Developer","TeamQuest Sp z o.o.","Entry level",
"Full-time","Project Management Information Technology","Marketing & Advertising Computer Software Internet","Łódź, PL","Digital Project Manager","InterSynergy","Associate",
"Full-time","Other","Retail","Koluszki, PL","Koluszki - PRACA W MARKECIE, Dino Polska","Dino Polska S.A.","Associate",
"Full-time","Sales Business Development","Staffing & Recruiting","Łódź, PL","Magazynier w Łodzi bez doświadczenia - 17 zł/h , praca od 8 do 16","CRAFTS","Entry level",
"Full-time","Sales Business Development","Staffing & Recruiting","Łódź, PL","Magazynier w Łodzi bez doświadczenia - 17 zł/h , praca od 8 do 16","CRAFTS","Entry level",
"Full-time","Sales Business Development","Staffing & Recruiting","Łódź, PL","Magazynier w Łodzi bez doświadczenia - 17 zł/h , praca od 8 do 16","CRAFTS","Entry level",
"Full-time","Other","Hospital & Health Care","Łódź, PL","Laryngolog","Medicover","Entry level",
"Full-time","Other","Hospital & Health Care","Łódź, PL","Laryngolog","Medicover","Entry level",
"Full-time","Management Manufacturing","Environmental Services Mechanical Or Industrial Engineering Oil & Energy","Łódź, 90-350, PL","Operator wózka","IDES Consultants Polska","Entry level",
"Full-time","Management Manufacturing","Environmental Services Mechanical Or Industrial Engineering Oil & Energy","Łódź, 90-350, PL","Operator wózka","IDES Consultants Polska","Entry level",
"Full-time","Human Resources","Human Resources","Łódź, PL","Rekruter z językiem polskim i ukraińskim - od zaraz!","KS Service sp. z o.o.","Associate",
"Full-time","Human Resources","Human Resources","Łódź, PL","Rekruter z językiem polskim i ukraińskim - od zaraz!","KS Service sp. z o.o.","Associate",
"Full-time","Management Manufacturing","Pharmaceuticals","Łódź, PL","Transfer Pricing Analyst","Takeda","Associate",
"Full-time","Management Manufacturing","Pharmaceuticals","Łódź, PL","Transfer Pricing Analyst","Takeda","Associate",
"Full-time","Research Analyst Information Technology","Electrical & Electronic Manufacturing Machinery Staffing & Recruiting","Łódź, PL","Senior Forecasting Analyst","Whirlpool Corporation","Associate",
"Full-time","Research Analyst Information Technology","Electrical & Electronic Manufacturing Machinery Staffing & Recruiting","Łódź, PL","Senior Forecasting Analyst","Whirlpool Corporation","Associate",
"Full-time","Business Development Sales","Design Staffing & Recruiting Human Resources","Łódź, PL","Referent stażysta","Company Location","Entry level",
"Full-time","Business Development Sales","Design Staffing & Recruiting Human Resources","Łódź, PL","Referent stażysta","Company Location","Entry level",
"Full-time","Other","Information Technology & Services Staffing & Recruiting Financial Services","Łódź, PL","Praca bez doświadczenia Norweski","PMSolutions","Entry level",
"Full-time","Other","Information Technology & Services Staffing & Recruiting Financial Services","Łódź, PL","Praca bez doświadczenia Norweski","PMSolutions","Entry level",
"Full-time","Other","Information Technology & Services Staffing & Recruiting Financial Services","Łódź, PL","wulkanizator","PECTO SP. Z O.O.","Entry level",
"Full-time","Marketing Sales","Marketing & Advertising","Łódź, PL","Junior seo specialist","ATOM Agency","Entry level",
"Full-time","Information Technology","Hospital & Health Care","Łódź, PL","IT Techincal Specialist","Philips","Entry level",
"Full-time","Management Manufacturing","Banking Financial Services Investment Banking","Łódź, PL","Junior Process Officer/Process Officer in Banking Operations Poland, Łódź","Nordea","Entry level",
"Full-time","Accounting/Auditing Finance Customer Service","Outsourcing/Offshoring Financial Services Accounting","Lodz, Lodz District, Poland","Finance & Accounting Officer with Italian - this is ﻿Online recruitment - from the beginning to the end!","Infosys Poland","Entry level",
"Full-time","Other","Outsourcing/Offshoring Financial Services Accounting","Łódź, PL","wulkanizator","PECTO SP. Z O.O.","Entry level",
"Full-time","Marketing Sales","Marketing & Advertising","Łódź, PL","Junior seo specialist","ATOM Agency","Entry level",
"Full-time","Accounting/Auditing","Outsourcing/Offshoring Information Technology & Services","Łódź, Łódzkie, Poland","RtR Specialist with English","Infosys Poland","Associate",
"Full-time","Management Manufacturing","Electrical & Electronic Manufacturing Mechanical Or Industrial Engineering Consumer Electronics","Andrespol, PL","Operator Wózka Widłowego w Łodzi- Oferta z najwyższej półki.","Agencja Zatrudnienia Sidrom Sp. z o.o.","Entry level",
"Full-time","Management Manufacturing","Electrical & Electronic Manufacturing Mechanical Or Industrial Engineering Consumer Electronics","Andrespol, PL","Operator Wózka Widłowego w Łodzi- Oferta z najwyższej półki.","Agencja Zatrudnienia Sidrom Sp. z o.o.","Entry level",
"Full-time","Engineering Information Technology","Marketing & Advertising Computer Software Internet","Łódź, PL","Front-end Developer","InterSynergy","Entry level",
"Full-time","Engineering Information Technology","Marketing & Advertising Computer Software Internet","Łódź, PL","Front-end Developer","InterSynergy","Entry level",
"Full-time","Other","Staffing & Recruiting","Łódź, PL","Praca na magazynie - umowa o pracę/ 17,00 zł/h + dodatek, Łódź Widzew","CRAFTS","Entry level",
"Full-time","Business Development Sales","Electrical & Electronic Manufacturing Machinery Staffing & Recruiting","Łódź, PL","Senior Business Analyst - Salesforce.com [Online Recruitment Process]","Barry Callebaut Group","Associate",
"Full-time","Business Development Sales","Electrical & Electronic Manufacturing Machinery Staffing & Recruiting","Łódź, PL","Senior Business Analyst - Salesforce.com [Online Recruitment Process]","Barry Callebaut Group","Associate",
"Full-time","Information Technology","Pharmaceuticals","Łódź, PL","PDS Business Support Specialist","Takeda","Entry level",
"Full-time","Information Technology","Pharmaceuticals","Łódź, PL","PDS Business Support Specialist","Takeda","Entry level",
"Full-time","Marketing Public Relations Writing/Editing","Electrical & Electronic Manufacturing Machinery Staffing & Recruiting","Łódź, PL","Technical Documentation Specialist, student (m/f)","Whirlpool Corporation","Internship",
"Full-time","Marketing Public Relations Writing/Editing","Electrical & Electronic Manufacturing Machinery Staffing & Recruiting","Łódź, PL","Technical Documentation Specialist, student (m/f)","Whirlpool Corporation","Internship",
"Full-time","Management Manufacturing","Staffing & Recruiting","Łódź, PL","Mobilny tajemniczy klient","InterKadra Sp. z o.o.","Associate",
"Full-time","Management Manufacturing","Staffing & Recruiting","Łódź, PL","Mobilny tajemniczy klient","InterKadra Sp. z o.o.","Associate",
"Full-time","Design Art/Creative Information Technology","Design Staffing & Recruiting Human Resources","Łódź, PL","Fotograf","Company Location","Entry level",
"Full-time","Design Art/Creative Information Technology","Design Staffing & Recruiting Human Resources","Łódź, PL","Fotograf","Company Location","Entry level",
"Full-time","Other","Machinery Staffing & Recruiting Transportation/Trucking/Railroad","Łódź, PL","ZATRUDNIĘ DOZORCĘ","Agencja Ochrony","Entry level",
"Full-time","Other","Machinery Staffing & Recruiting Transportation/Trucking/Railroad","Łódź, PL","ZATRUDNIĘ DOZORCĘ","Agencja Ochrony","Entry level",
"Full-time","Other","Retail","Zgierz, PL","Praca w markecie","Dino Polska S.A.","Entry level",
"Full-time","Sales Business Development","Automotive Machinery Transportation/Trucking/Railroad","Łódź, PL","Magazynier - 17 zł/h, praca na zmianie nocnej, Łódź Polesie","Agencja Zatrudnienia Sidrom Sp. z o.o.","Entry level",
"Full-time","Management Manufacturing","Electrical & Electronic Manufacturing","Łódź, PL","Konstruktor Elektryk","ABB","Entry level",
"Full-time","Management Manufacturing","Electrical & Electronic Manufacturing","Łódź, PL","Starszy Specjalista ds. BHP","ABB","Mid-Senior level",
"Full-time","Information Technology","Hospital & Health Care","Łódź, PL","Packaging Regulations Specialist","Philips","Mid-Senior level",
"Full-time","Accounting/Auditing","Banking Financial Services Investment Banking","Łódź, PL","Junior/Process Officer, Cash Management Operations, Łódź","Nordea","Mid-Senior level",
"Full-time","Accounting/Auditing Finance","Food & Beverages Food Production Consumer Goods","Łódź, PL","Accounts Receivable Analyst with Portuguese","McCormick & Company","Entry level",
"Full-time","Finance Sales","Hospital & Health Care","Łódź, PL","GBS Finance Business Partner","Philips","Entry level",
"Full-time","Accounting/Auditing","Food & Beverages Food Production Consumer Goods","Łódź, Łódzkie, Poland","Accounts Receivable Analyst with Portuguese","McCormick & Company","Associate",
"Full-time","Business Development Sales","Pharmaceuticals","Łódź, PL","GL & Reporting Specialist","Takeda","Entry level",
"Full-time","Management Manufacturing","Information Technology & Services Staffing & Recruiting Financial Services","Łódź, PL","Junior Process Officer with SWEDISH (back-office)","PMSolutions","Entry level",
"Full-time","Business Development","Consumer Services","Łódź, PL","Koordynator Ochrony","Securitas Polska Sp. z o. o.","Associate",
"Full-time","Business Development","Consumer Services","Łódź, PL","Koordynator Ochrony","Securitas Polska Sp. z o. o.","Associate",
"Full-time","Business Development","Consumer Services","Łódź, PL","Koordynator Ochrony","Securitas Polska Sp. z o. o.","Associate",
"Full-time","Other","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Łódź, PL","Łódź - praca w markecie Dino Polska","Dino Polska S.A.","Associate",
"Full-time","Other","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Łódź, PL","Łódź - praca w markecie Dino Polska","Dino Polska S.A.","Associate",
"Full-time","Management Manufacturing","Hospital & Health Care","Łódź, PL","Services & Solutions Delivery Specialist","Philips","Associate",
"Full-time","Finance Sales","Electrical & Electronic Manufacturing","Aleksandrów Łódzki, PL","Business Controller","ABB","Mid-Senior level",
"Full-time","Finance Sales","Electrical & Electronic Manufacturing","Aleksandrów Łódzki, PL","Business Controller","ABB","Mid-Senior level",
"Full-time","Quality Assurance","Pharmaceuticals","Łódź, PL","Specjalista Kontroli Jakości / Quality Control Specialist","Takeda","Entry level",
"Full-time","Quality Assurance","Pharmaceuticals","Łódź, PL","Specjalista Kontroli Jakości / Quality Control Specialist","Takeda","Entry level",
"Full-time","Other","Pharmaceuticals","Łódź, PL","Zatrudnię","Bud. antaress","Entry level",
"Full-time","Sales Management","Design Staffing & Recruiting Human Resources","Łódź, PL","Administrator nieruchomości + ST POWER V","Company Location","Entry level",
"Full-time","Sales Management","Design Staffing & Recruiting Human Resources","Łódź, PL","Administrator nieruchomości + ST POWER V","Company Location","Entry level",
"Full-time","Other","Electrical & Electronic Manufacturing","Aleksandrów Łódzki, PL","Opex Manager","ABB","Entry level",
"Full-time","Other","Electrical & Electronic Manufacturing","Aleksandrów Łódzki, PL","Opex Manager","ABB","Entry level",
"Full-time","Consulting Information Technology Sales","Pharmaceuticals","Łódź, PL","Business Partner","Takeda","Mid-Senior level",
"Full-time","Other","Information Technology & Services Staffing & Recruiting Financial Services","Łódź, PL","Praca stał 3200zł – praca administracyjna","PMSolutions","Mid-Senior level",
"Full-time","Other","Information Technology & Services Staffing & Recruiting Financial Services","Łódź, PL","Praca stał 3200zł – praca administracyjna","PMSolutions","Mid-Senior level",
"Full-time","Design Art/Creative Information Technology","Design Staffing & Recruiting Human Resources","Łódź, PL","AGENT DO SPRAW ZAKUPÓW","Company Location","Entry level",
"Full-time","Management Manufacturing","Hospital & Health Care","Łódź, PL","Business Process Expert (BPE) Digital Service Interaction","Philips","Entry level",
"Full-time","Project Management Information Technology","Hospital & Health Care","Łódź, PL","Supply Chain Senior Project Manager","Philips","Entry level",
"Full-time","Customer Service Information Technology","Hospital & Health Care","Łódź, PL","Customer Service Specialist with French","Philips","Entry level",
"Full-time","Education Training","Hospital & Health Care","Łódź, PL","Supply Chain Intern","Philips","Entry level",
"Full-time","Purchasing Supply Chain","Electrical & Electronic Manufacturing","Łódź, PL","Procurement and Logistics Specialist","ABB","Mid-Senior level",
"Full-time","Business Development Sales","Food & Beverages Food Production Consumer Goods","Łódź, PL","Specification & Certification Analyst","McCormick & Company","Entry level",
"Part-time","Administrative","Marketing & Advertising E-learning Education Management","Łódź, PL","Academic Assistant","*Research","Entry level",
"Part-time","Administrative","Marketing & Advertising E-learning Education Management","Łódź, PL","Academic Assistant","*Research","Entry level",
"Part-time","Administrative","Marketing & Advertising E-learning Education Management","Łódź, PL","Academic Assistant","*Research","Entry level",
"Full-time","Project Management Information Technology","Hospital & Health Care","Łódź, PL","Project PMO Manager","Philips","Entry level",
"Full-time","Project Management Information Technology","Hospital & Health Care","Łódź, PL","Project PMO Manager","Philips","Entry level",
"Full-time","Accounting/Auditing Finance","Food & Beverages Food Production Consumer Goods","Łódź, PL","Accounts Payable Processor for North America","McCormick & Company","Entry level",
"Contract","Administrative","Food & Beverages Food Production Consumer Goods","Łódź, PL","Board Office Assistant AMEET Sp. z o.o.","Strona www AMEET Sp. z o.o.","Entry level",
"Full-time","Other","Information Technology & Services Staffing & Recruiting Financial Services","Łódź, PL","Koordynator wewnętrznego klienta","PMSolutions","Associate",
"Full-time","Other","Information Technology & Services Staffing & Recruiting Financial Services","Łódź, PL","Koordynator wewnętrznego klienta","PMSolutions","Associate",
"Full-time","Human Resources","Hospital & Health Care","Łódź, PL","Administration & Payroll Specialist","Philips","Associate",
"Full-time","Quality Assurance","Electrical & Electronic Manufacturing","Aleksandrów Łódzki, PL","Supplier Development Specialist","ABB","Mid-Senior level",
"Full-time","Accounting/Auditing Finance","Food & Beverages Food Production Consumer Goods","Łódź, PL","Accounts Receivable Analyst with Portuguese","McCormick & Company","Entry level",
"Full-time","Accounting/Auditing Finance","Food & Beverages Food Production Consumer Goods","Łódź, PL","Accounts Receivable Analyst with Portuguese","McCormick & Company","Entry level",
"Full-time","Finance Sales","Information Technology & Services","Łódź, PL","Analityk kredytowy","PMSolutions","Entry level",
"Full-time","Finance Sales","Information Technology & Services","Łódź, PL","Analityk kredytowy","PMSolutions","Entry level",
"Full-time","Purchasing Supply Chain","Electrical & Electronic Manufacturing","Łódź, PL","Commodity Manager","ABB","Mid-Senior level",
"Full-time","Purchasing Supply Chain","Electrical & Electronic Manufacturing","Łódź, PL","Commodity Manager","ABB","Mid-Senior level",
"Full-time","Finance Sales","Pharmaceuticals","Łódź, PL","Treasury / Payment Factory (IHB) Specialist","Takeda","Entry level",
"Full-time","Other","Pharmaceuticals","Łódź, PL","Czynności produkcyjne","Powiatowy Urząd Pracy Łodzi ul. Milionowa","Entry level",
"Full-time","Other","Pharmaceuticals","Łódź, PL","Praca","Akademickie Liceum","Entry level",
"Full-time","Accounting/Auditing Finance","Food & Beverages Food Production Consumer Goods","Łódź, PL","Accounts Payable Processor","McCormick & Company","Entry level",
"Full-time","Management Manufacturing","Hospital & Health Care","Łódź, PL","Global Process Program Lead (Supply Chain)","Philips","Entry level",
"Full-time","Sales Business Development","Electrical & Electronic Manufacturing","Aleksandrów Łódzki, PL","Koordynator ds. Kluczowych Klientów","ABB","Mid-Senior level",
"Full-time","Other","Publishing Mental Health Care Health, Wellness & Fitness","Łódź, PL","UWAGA!","MCM Polesie","Mid-Senior level",
"Full-time","Human Resources","Hospital & Health Care","Łódź, PL","Talent Acquisition Coordinator Intern","Philips","Mid-Senior level",
"Full-time","Analyst Finance","Electrical & Electronic Manufacturing","Łódź, PL","Controlling & Planning Analyst","ABB","Mid-Senior level",
"Full-time","Other","Machinery Staffing & Recruiting Human Resources","Andrespol, PL","ZATRUDNIĘ","AFIN","Mid-Senior level",
"Full-time","Other","Machinery Staffing & Recruiting Human Resources","Andrespol, PL","ZATRUDNIĘ","AFIN","Mid-Senior level",
"Full-time","Management Manufacturing","Electrical & Electronic Manufacturing","Łódź, PL","Inżynier Procesu – Automatyk","ABB","Mid-Senior level",
"Full-time","Other","Electrical & Electronic Manufacturing","Łódź, PL","FORMIERZ","Centralna Baza Ofert Pracy","Mid-Senior level",
"Full-time","Education Training","Hospital & Health Care","Łódź, PL","Finance Intern","Philips","Mid-Senior level",
"Full-time","Education Training","Hospital & Health Care","Łódź, PL","Finance Intern","Philips","Mid-Senior level",
"Full-time","Other","Hospital & Health Care","Rzgów, PL","Praca od zaraz","JB BOROWIECKI","Mid-Senior level",
"Full-time","Other","Hospital & Health Care","Rzgów, PL","Praca od zaraz","JB BOROWIECKI","Mid-Senior level",
"Full-time","Management Manufacturing","Electrical & Electronic Manufacturing","Łódź, PL","Monter","ABB","Mid-Senior level",
"Full-time","Management Manufacturing","Electrical & Electronic Manufacturing","Łódź, PL","Monter","ABB","Mid-Senior level",
"Full-time","Project Management Information Technology","Hospital & Health Care","Łódź, PL","Supply Chain Senior Project Manager","Philips","Mid-Senior level",
"Full-time","Project Management Information Technology","Hospital & Health Care","Łódź, PL","Supply Chain Senior Project Manager","Philips","Mid-Senior level",
"Full-time","Purchasing Supply Chain","Hospital & Health Care","Łódź, PL","Purchase to Pay - Project Support","Philips","Mid-Senior level",
"Full-time","Purchasing Supply Chain","Hospital & Health Care","Łódź, PL","Purchase to Pay - Project Support","Philips","Mid-Senior level",
"Full-time","Other","Staffing & Recruiting Human Resources Insurance","Łódź, PL","Koordynator Ochrony","Securitas Polska Sp. z o.o.","Associate",
"Full-time","Other","Staffing & Recruiting Human Resources Insurance","Łódź, PL","Koordynator Ochrony","Securitas Polska Sp. z o.o.","Associate",
"Full-time","Other","Staffing & Recruiting Human Resources Insurance","Łódź, PL","Kierowca autobusu","Volkswagen Bank","Entry level",
"Full-time","Information Technology","Hospital & Health Care","Łódź, PL","Packaging Regulations Specialist","Philips","Entry level",
"Full-time","Management Manufacturing","Electrical & Electronic Manufacturing","Łódź, PL","Specjalista ds. Planowania Produkcji","ABB","Mid-Senior level",
"Full-time","Management Manufacturing","Electrical & Electronic Manufacturing","Łódź, PL","Specjalista ds. Planowania Produkcji","ABB","Mid-Senior level",
"Full-time","Sales Business Development","Hospital & Health Care","Łódź, PL","Junior Sales Back Office Specialist","Philips","Mid-Senior level",
"Full-time","Management Manufacturing","Electrical & Electronic Manufacturing","Łódź, PL","Konstruktor Elektryk","ABB","Entry level",
"Full-time","Other","Electrical & Electronic Manufacturing","Łódź, PL","wulkanizator","FLOW MEDIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","Entry level",
"Full-time","Project Management Information Technology","Hospital & Health Care","Łódź, PL","Project Manager","Philips","Entry level",
"Full-time","Analyst Finance","Electrical & Electronic Manufacturing","Łódź, PL","Controlling & Planning Senior Specialist","ABB","Mid-Senior level",
"Full-time","Management Manufacturing","Financial Services","Łódź, PL","Junior Process Officer","Nordea Bank Abp SA Oddział w Polsce","Entry level",
"Full-time","Management Manufacturing","Financial Services","Łódź, PL","Junior Process Officer","Nordea Bank Abp SA Oddział w Polsce","Entry level",
"Full-time","Engineering Information Technology","Electrical & Electronic Manufacturing","Łódź, PL","Mechanical Designer","ABB","Mid-Senior level",
"Full-time","Engineering Information Technology","Electrical & Electronic Manufacturing","Łódź, PL","Mechanical Designer","ABB","Mid-Senior level",
"Full-time","Other","Real Estate Leisure, Travel & Tourism Hospitality","Łódź, PL","VIENNA HOUSE ANDEL’S ŁÓDŹ: Kierownik Zmiany Recepcji (K/M)","VIENNA HOUSE ANDEL’S ŁÓDŹ","Mid-Senior level",
"Full-time","Other","Real Estate Leisure, Travel & Tourism Hospitality","Łódź, PL","VIENNA HOUSE ANDEL’S ŁÓDŹ: Kierownik Zmiany Recepcji (K/M)","VIENNA HOUSE ANDEL’S ŁÓDŹ","Mid-Senior level",
"Full-time","Other","Real Estate Leisure, Travel & Tourism Hospitality","Cedrowice, PL","Automatyk","Tubądzin Management Group Sp. z o.o.","Mid-Senior level",
"Full-time","Quality Assurance","Electrical & Electronic Manufacturing","Łódź, PL","Kontroler jakości","ABB","Mid-Senior level",
"Full-time","Quality Assurance","Electrical & Electronic Manufacturing","Łódź, PL","Kontroler jakości","ABB","Mid-Senior level",
"Full-time","Other","Electrical & Electronic Manufacturing","Łódź, PL","Lider Sprzedaży","Pośrednictwo Finansowe","Mid-Senior level",
"Full-time","Other","Electrical & Electronic Manufacturing","Łódź, PL","Lider Sprzedaży","Pośrednictwo Finansowe","Mid-Senior level",
"Part-time","Administrative","Marketing & Advertising Insurance Financial Services","Łódź, PL","Data Entry Work at Home","USASJB Remote","Entry level",
"Part-time","Administrative","Marketing & Advertising Insurance Financial Services","Łódź, PL","Data Entry Work at Home","USASJB Remote","Entry level",
"Full-time","Education Training","Marketing & Advertising Insurance Financial Services","Łódź, PL","Staż AI/ML Comarch Comarch","Strona www Comarch","Internship",
"Full-time","Customer Service Information Technology","Hospital & Health Care","Łódź, PL","Customer Service Specialist with French","Philips","Internship",
"Full-time","Other","Hospital & Health Care","Łódź, PL","Pollster","Blue Straregy Sp z o.o.","Entry level",
"Full-time","Other","Hospital & Health Care","Łódź, PL","Pollster","Blue Straregy Sp z o.o.","Entry level",
"Full-time","Management Manufacturing","Hospital & Health Care","Łódź, PL","Service Parts Supply Chain (SPS) Supply Chain Improvement Manager","Philips","Entry level",
"Full-time","Human Resources","Human Resources Outsourcing/Offshoring Staffing & Recruiting","Łódź, Łódzkie, Poland","Specjalista ds. Rekrutacji","Grupa Progres","Associate",
"Part-time","Marketing Public Relations Writing/Editing","Marketing & Advertising E-learning Education Management","Łódź, PL","Creative Writer","*Research","Entry level",
"Full-time","Other","Marketing & Advertising E-learning Education Management","Ksawerów, PL","Szwaczka","MARGO PPHU s.c.","Entry level",
"Full-time","Other","Marketing & Advertising E-learning Education Management","Łódź, PL","Poszukuje ogulnobudowlanca","HONEST-MAL","Entry level",
"Part-time","Marketing Public Relations Writing/Editing","Marketing & Advertising E-learning Education Management","Łódź, PL","Remote Copywriter","*Research Remote","Entry level",
"Full-time","Other","Marketing & Advertising E-learning Education Management","Łódź, PL","Nabór na stanowisko Automatyk","Grupowa Oczyszczalnia Ścieków w Łodzi","Entry level",
"Full-time","Management Manufacturing","Construction Staffing & Recruiting Human Resources","Województwo Łódzkie, PL","Hydraulik","Sepona Gmbh","Entry level",
"Full-time","Other","Construction Staffing & Recruiting Human Resources","Łódź, PL","Wędzarz","SuperDrob S.A.","Entry level",
"Full-time","Other","Construction Staffing & Recruiting Human Resources","Łódź, PL","Wędzarz","SuperDrob S.A.","Entry level",
"Full-time","Information Technology","Marketing & Advertising Staffing & Recruiting Human Resources","Łódź, PL","ADMINISTRATOR","ENISA - The EU Cybersecurity Agency","Associate",
"Full-time","Information Technology","Marketing & Advertising Staffing & Recruiting Human Resources","Łódź, PL","ADMINISTRATOR","ENISA - The EU Cybersecurity Agency","Associate",
"Full-time","Other","Restaurants Food & Beverages Hospital & Health Care","Łódź, PL","Zatrudnię","lento.pl","Associate",
"Full-time","Other","Restaurants Food & Beverages Hospital & Health Care","Łódź, PL","Zatrudnię","lento.pl","Associate",
"Full-time","Customer Service Information Technology","Information Technology & Services Staffing & Recruiting Financial Services","Łódź, PL","Business Support Assistant","Hays Office","Entry level",
"Full-time","Other","Information Technology & Services Staffing & Recruiting Financial Services","Koluszki, PL","Szwaczka maszynowa","Kowalski Andrzej - P.P.H. "ANKAR" Łódź-Wschód","Entry level",
"Full-time","Other","Information Technology & Services Staffing & Recruiting Financial Services","Koluszki, PL","Szwaczka maszynowa","Kowalski Andrzej - P.P.H. "ANKAR" Łódź-Wschód","Entry level",
"Part-time","Marketing Public Relations Writing/Editing","Marketing & Advertising E-learning Education Management","Łódź, PL","English Content Writer","*Research","Entry level",
"Part-time","Marketing Public Relations Writing/Editing","Marketing & Advertising E-learning Education Management","Łódź, PL","English Content Writer","*Research","Entry level",
"Full-time","Management Manufacturing","Marketing & Advertising E-learning Education Management","Łódź, PL","Pakowaczka/Pakowacz","MEGAWORKER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","Entry level",
"Full-time","Management Manufacturing","Marketing & Advertising E-learning Education Management","Łódź, PL","Pakowaczka/Pakowacz","MEGAWORKER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","Entry level",
"Full-time","Other","Marketing & Advertising E-learning Education Management","Łódź, PL","Szwaczka","ORPEL-Spółdzielnia usług techniczno Handlowych i wdrożeń Łódź-Wschód","Entry level",
"Full-time","Other","Marketing & Advertising E-learning Education Management","Łódź, PL","Szwaczka","ORPEL-Spółdzielnia usług techniczno Handlowych i wdrożeń Łódź-Wschód","Entry level",
"Full-time","Other","Marketing & Advertising E-learning Education Management","Łódź, PL","Praca","Pizzeria 13","Entry level",
"Full-time","Quality Assurance","Marketing & Advertising E-learning Education Management","Łódź, PL","Tester Aplikacji","Fabrity Sp. z o.o.","Entry level",
"Full-time","Other","Marketing & Advertising E-learning Education Management","Łódź, PL","Befrager in","Blue Straregy Sp z o.o.","Entry level",
"Full-time","Other","Publishing Mental Health Care Health, Wellness & Fitness","Łódź, PL","pielęgniarki","MCM Polesie","Entry level",
