"Employment Type","Job Functions","Industry","Company Location","position","Company Name","Seniority Level"
"Full-time","Marketing Public Relations Writing/Editing","Marketing & Advertising","Łódź, PL","Junior Social Media Specialist","ATOM Agency","Entry level",
"Full-time","Other","Mental Health Care","Brzeziny, PL","Nabór na stanowisko psychoterapeuty","POWIATOWE CENTRUM POMOCY RODZINIE W SWIDNIKU","Entry level",
"Full-time","Other","Mental Health Care","Brzeziny, PL","Nabór na stanowisko psychoterapeuty","POWIATOWE CENTRUM POMOCY RODZINIE W SWIDNIKU","Entry level",
"Full-time","Other","Health, Wellness & Fitness","Łódź, PL","Lider Magazynu","Media Expert","Entry level",
"Full-time","Other","Information Technology & Services","Łódź, PL","Zatrudnię manikiurzystkę","ANETA LIMITED","Entry level",
"Full-time","Other","Environmental Services Mechanical Or Industrial Engineering Oil & Energy","Łódź, PL","Ustawiacz Procesu Wtrysku","IDES Consultants Polska","Entry level",
"Full-time","Sales Business Development","Electrical & Electronic Manufacturing Mechanical Or Industrial Engineering Medical Device","Łódź, PL","Associate Sales Representative - Head & Neck","Stryker","Entry level",
"Full-time","Other","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Łódź, PL","Leszcze - Praca w markecie Dino Polska","Dino Polska S.A.","Entry level",
"Full-time","Other","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Łódź, PL","Zatrudnię szwaczki","KOMPLEKS","Entry level",
"Full-time","Business Development Sales","Pharmaceuticals","Łódź, PL","Analityk biznesowy","Polska Grupa Farmaceutyczna Sp Z O O","Associate",
"Full-time","Sales Business Development","Food Production","Łódź, PL","MAGAZYNIER","Zakłady Mięsne NOVE","Entry level",
"Full-time","Product Management Marketing","Computer Software Internet Management Consulting","Łódź, PL","Product Manager","LetsBuild","Entry level",
"Full-time","Other","Plastics","Łódź, PL","Praca w Holandii przy pakowaniu słodyczy !!!","Flexcraft","Entry level",
"Full-time","Other","Information Technology & Services","Łódź, PL","Zatrudnię Murarzy","BelCash Technology Solutions PLC","Entry level",
"Full-time","Product Management Marketing","Aviation & Aerospace Staffing & Recruiting Management Consulting","Łódź, PL","PRODUCT MANAGER","GRAVET CONSULTING SP. Z O.O.","Entry level",
"Full-time","Other","Medical Device","Łódź, PL","Mistrz zmiany","Tricomed SA","Associate",
"Full-time","Information Technology","Civil Engineering","Łódź, PL","Koordynator ds. instalacji sanitarnych","ERBUD S.A.","Entry level",
"Full-time","Information Technology","Civil Engineering","Łódź, PL","Koordynator ds. instalacji sanitarnych","ERBUD S.A.","Entry level",
"Full-time","Engineering Information Technology Analyst","Banking","Łódź, Woj. Łódzkie, Polska","IT Business Analyst","Team Up IT Recruitment","Mid-Senior level",
"Full-time","Engineering Information Technology Analyst","Banking","Łódź, Woj. Łódzkie, Polska","IT Business Analyst","Team Up IT Recruitment","Mid-Senior level",
"Full-time","Health Care Provider","Banking","Łódź, PL","Rejestratorka Medyczna/Rejestrator Medyczny","Centrum Medyczne","Entry level",
"Full-time","Sales Business Development","Information Technology & Services","Zgierz, PL","Kierownik Sklepu Martes Sport","Martes Specure International","Mid-Senior level",
"Full-time","Quality Assurance","Information Technology & Services","Łódź, PL","Quality Assurance Engineer","Media4U","Entry level",
"Full-time","Quality Assurance","Information Technology & Services","Łódź, PL","Quality Assurance Engineer","Media4U","Entry level",
"Full-time","Management Manufacturing","Staffing & Recruiting Human Resources Retail","Łódź, PL","AFFRETEUR H/F","RAS Intérim","Entry level",
"Full-time","Management Manufacturing","Machinery","Łódź, PL","Szukam mechanika","Mechanik","Entry level",
"Full-time","Management Manufacturing","Machinery","Łódź, PL","Szukam mechanika","Mechanik","Entry level",
"Full-time","Other","Information Technology & Services","Łódź, PL","zatrudnię osobę do sprzątania","Platforma","Entry level",
"Full-time","Other","Information Technology & Services","Łódź, PL","zatrudnię osobę do sprzątania","Platforma","Entry level",
"Full-time","Management Manufacturing","Information Technology & Services","Łódź, PL","Żłobek praca kucharz","Urząd Miejski","Entry level",
"Full-time","Management Manufacturing","Information Technology & Services","Łódź, PL","Żłobek praca kucharz","Urząd Miejski","Entry level",
"Full-time","Other","Law Practice","Łódź, PL","Zatrudnię kierowcę kat B na stałe trasy","Filip & Company","Entry level",
"Full-time","Design Art/Creative Information Technology","Law Practice","Łódź, PL","Grafik 3D","Poldem","Entry level",
"Full-time","Design Art/Creative Information Technology","Law Practice","Łódź, PL","Grafik 3D","Poldem","Entry level",
"Full-time","Other","Marketing & Advertising Events Services Leisure, Travel & Tourism","Łódź, PL","Zatrudnię przedstawiciela handlowego","DAMIAN LIMITED","Entry level",
"Full-time","Education Training","Electrical & Electronic Manufacturing","Aleksandrów Łódzki, PL","Early Talent and University Relations Specialist","ABB","Mid-Senior level",
"Full-time","Sales Business Development","Marketing & Advertising","Zgierz, PL","Inżynier Sprzedaży","DTH","Director",
"Full-time","Other","Hospital & Health Care","Łódź, PL","Portier - szatniarz","Szpital Wojewódzki","Entry level",
"Full-time","Other","Staffing & Recruiting Retail Consumer Services","Łódź, PL","U Nas DA się ZAROBIĆ-Łódź","PROFI CREDIT Polska S.A.","Entry level",
"Full-time","Other","Security & Investigations","Łódź, PL","ZARZĄDCA TERENU / ADMINISTRATOR","Protekt","Entry level",
"Full-time","Research Analyst Information Technology","Logistics & Supply Chain","Stryków, PL","Specjalista ds. kontroli jakości i reklamacji","Spedimex Sp. z o.o.","Entry level",
"Full-time","Management Manufacturing","Sports","Łódź, PL","Kierowca busa międzynarodówka","Nuun Hydration","Entry level",
"Full-time","Management Manufacturing","Sports","Łódź, PL","Kierowca busa międzynarodówka","Nuun Hydration","Entry level",
"Full-time","Other","Hospital & Health Care","Łódź, PL","Laryngolog","Medicover","Entry level",
"Full-time","Other","Hospital & Health Care","Stryków, PL","kobieta do sortowni 1/1 etatu , noc","pracownik","Entry level",
"Full-time","Management Manufacturing","Information Technology & Services Staffing & Recruiting Financial Services","Łódź, PL","Process Executives (Bilingual)","David Kennedy","Associate",
"Full-time","Management Manufacturing","Information Technology & Services Staffing & Recruiting Financial Services","Łódź, PL","Process Executives (Bilingual)","David Kennedy","Associate",
"Full-time","Information Technology","Information Technology & Services Computer Software Internet","Łódź, PL","IT Manager (Poland)","Hero Labs","Mid-Senior level",
"Full-time","Sales Business Development","Information Technology & Services Staffing & Recruiting Management Consulting","Łódź, PL","Przedstawiciel Handlowy (branża zoologiczna)","Synergia","Entry level",
"Full-time","Sales Business Development","Information Technology & Services Staffing & Recruiting Management Consulting","Łódź, PL","Przedstawiciel Handlowy (branża zoologiczna)","Synergia","Entry level",
"Full-time","Administrative","Higher Education Research Biotechnology","Łódź, PL","Assistant","Medical University of Lodz","Entry level",
"Full-time","Administrative","Higher Education Research Biotechnology","Łódź, PL","Assistant","Medical University of Lodz","Entry level",
"Full-time","Management Manufacturing","Government Administration","Łódź, PL","Spedytor","Powiatowy Urząd Pracy w Świnoujściu","Entry level",
"Full-time","Management Manufacturing","Government Administration","Łódź, PL","Spedytor","Powiatowy Urząd Pracy w Świnoujściu","Entry level",
"Full-time","Marketing Sales","Machinery","Łódź, PL","HANDLOWIEC","OPOLTRANS Spółka z o.o.","Entry level",
"Full-time","Marketing Sales","Machinery","Łódź, PL","HANDLOWIEC","OPOLTRANS Spółka z o.o.","Entry level",
"Full-time","Management Manufacturing","Machinery Mechanical Or Industrial Engineering Hospitality","Łódź, PL","Sprzątaczka Pogonowskiego","ARMA Group","Entry level",
"Full-time","Management Manufacturing","Machinery Mechanical Or Industrial Engineering Hospitality","Łódź, PL","Sprzątaczka Pogonowskiego","ARMA Group","Entry level",
"Full-time","Sales Business Development","Human Resources","Łódź, PL","Przedstawiciel handlowy","FORUM kariéry","Entry level",
"Full-time","Sales Business Development Customer Service","Transportation/Trucking/Railroad Logistics & Supply Chain","Łódź, Łódzkie, Poland","Specjalista ds. rozwoju biznesu","People Sp. z o.o.","Mid-Senior level",
"Full-time","Engineering Information Technology","Information Technology & Services Computer Software Financial Services","Łódź, PL","AWS Architect","Accenture","Associate",
"Full-time","Quality Assurance","Information Technology & Services Computer Software Staffing & Recruiting","Łódź, PL","Quality Assurance Engineer","Vistex","Entry level",
"Full-time","Other","Information Technology & Services Computer Software Staffing & Recruiting","Łódź, PL","Devops Engineer","SALES","Entry level",
"Full-time","Management Manufacturing","Outsourcing/Offshoring","Łódź, PL","Kierownik grupy telemarketingowej","TELMON","Mid-Senior level",
"Full-time","Management Manufacturing","Consumer Services","Łódź, PL","MONTER, ŚLUSARZ, MACHANIK","Company Location","Entry level",
"Full-time","Other","Marketing & Advertising","Ksawerów, PL","Dam prace","DEKOR, spol. s.r.o. - ovlivňujeme nákupní rozhodnutí v místě prodeje","Entry level",
"Full-time","Other","Marketing & Advertising","Łódź, PL","Poszukuję redaktorów tekstu. Absolwentów wyższych uczelni.","redakcja GORLICE24.pl","Entry level",
"Full-time","Other","Marketing & Advertising","Łódź, PL","Poszukuję redaktorów tekstu. Absolwentów wyższych uczelni.","redakcja GORLICE24.pl","Entry level",
"Full-time","Sales Business Development","Marketing & Advertising","Łódź, PL","Przedstawiciel Handlowy (Chemia Spożywcza)","Talent Partners","Entry level",
"Full-time","Sales Business Development","Marketing & Advertising","Łódź, PL","Przedstawiciel Handlowy (Chemia Spożywcza)","Talent Partners","Entry level",
"Full-time","Other","Automotive Machinery Mechanical Or Industrial Engineering","Łódź, PL","Praca w Niemczech od zaraz","PIN","Entry level",
"Full-time","Other","Automotive Machinery Mechanical Or Industrial Engineering","Łódź, PL","Praca w Niemczech od zaraz","PIN","Entry level",
"Full-time","Business Development Sales","Financial Services","Łódź, PL","Dyrektor Oddziału","Open Finance SA","Director",
"Full-time","Management Manufacturing","Financial Services","Łódź, PL","KUCHARZ/RKA - niemiecka umowa, od zaraz!","FACH","Entry level",
"Full-time","Management Manufacturing","Financial Services","Łódź, PL","KUCHARZ/RKA - niemiecka umowa, od zaraz!","FACH","Entry level",
"Full-time","Research Analyst Information Technology","Primary/Secondary Education Education Management Staffing & Recruiting","Łódź, PL","Magister Farmacji","LeasingTeam Group","Entry level",
"Full-time","Management Manufacturing","Transportation/Trucking/Railroad","Łódź, PL","Spedytor krajowy","Omida Group","Entry level",
"Full-time","Management Manufacturing","Transportation/Trucking/Railroad","Łódź, PL","Spedytor krajowy","Omida Group","Entry level",
"Full-time","Sales Business Development","Biotechnology","Ozorków, PL","Sprzedawca AMIC","Åmic AB","Entry level",
"Full-time","Sales Business Development","Biotechnology","Ozorków, PL","Sprzedawca AMIC","Åmic AB","Entry level",
"Full-time","Engineering Information Technology","Information Technology & Services","Łódź, PL","Inżynier Budowy","Atal Ltd","Entry level",
"Full-time","Engineering Information Technology","Information Technology & Services","Łódź, PL","Inżynier Budowy","Atal Ltd","Entry level",
"Full-time","Other","Capital Markets","Zgierz, PL","współpraca - Zgierz","FIRMA PRYWATNA","Entry level",
"Full-time","Other","Capital Markets","Zgierz, PL","współpraca - Zgierz","FIRMA PRYWATNA","Entry level",
"Full-time","Customer Service Supply Chain","Outsourcing/Offshoring","Lodz, Lodz District, Poland","Customer Service Agent","Infosys Poland","Associate",
"Full-time","Information Technology","Information Technology & Services","Lodz Metropolitan Area","Office 365 migration specialist","ASTEK Polska","Mid-Senior level",
"Full-time","Information Technology","Marketing & Advertising","Łódź, Łódzkie, Poland","System Administrator / DevOps Engineer","UNIT9","Mid-Senior level",
"Full-time","Education Training","Marketing & Advertising","Łódź, PL","Nauczyciel Języka Angielskiego - Łódź","Studium Marketing Diretto Srl","Entry level",
"Full-time","Other","Management Consulting","Łódź, PL","Koordynator ds. rachunkowości ( Samodzielny/a księgowy/a)","PKF Consult","Associate",
"Full-time","Other","Information Technology & Services","Łódź, PL","pedytor krajowy FTL - Łódź","MaxBill","Associate",
"Full-time","Finance Sales","Machinery Staffing & Recruiting Banking","Łódź, PL","Financial Controller","ACCA Careers","Director",
"Full-time","Management Manufacturing","Staffing & Recruiting","Łódź, PL","Pakowacz chemii lekkiej","Company Location","Entry level",
"Full-time","Management Manufacturing","Staffing & Recruiting","Łódź, PL","Pakowacz chemii lekkiej","Company Location","Entry level",
"Full-time","Sales Business Development","Wholesale","Widzew, PL","KIEROWNIK DZIAŁU HORECA","Transgourmet France","Mid-Senior level",
"Full-time","Other","Hospitality","Łódź, PL","Zatrudnię Malarzy/Tapeciarzy/Ociepleniowców","Katarzyna Group","Mid-Senior level",
"Full-time","Other","Hospitality","Łódź, PL","Zatrudnię Malarzy/Tapeciarzy/Ociepleniowców","Katarzyna Group","Mid-Senior level",
"Full-time","Engineering Information Technology","Electrical & Electronic Manufacturing Information Technology & Services Financial Services","Łódź, PL","Programista ERP","Kotrak","Entry level",
"Full-time","Design Engineering Consulting","Civil Engineering Commercial Real Estate Construction","Lodz Metropolitan Area","Dyrektor Kontraktu","NES Global Talent","Mid-Senior level",
"Full-time","Design Engineering Consulting","Civil Engineering Commercial Real Estate Construction","Lodz Metropolitan Area","Dyrektor Kontraktu","NES Global Talent","Mid-Senior level",
"Full-time","Other","Higher Education Research Government Administration","Łódź, PL","SPECJALISTA","Szpital św. Jerzego w Kamieniu Pomorskim","Associate",
"Full-time","Other","Higher Education Research Government Administration","Łódź, PL","SPECJALISTA","Szpital św. Jerzego w Kamieniu Pomorskim","Associate",
"Full-time","Accounting/Auditing Finance","Information Technology & Services Computer Software Financial Services","Łódź, PL","Administrator ds. księgowości z językiem holenderskim (m/k)","Cpl","Entry level",
