job_type,experience,role,industry,company_size,company_type,salary,remote,location,tags
Contract,Senior,Mobile Developer,"Events, Social Media, Social Networking",11–50 people,VC Funded,None,Remote,Noofficelocation,[]
Full-time,"Mid-Level, Senior",Backend Developer,"E-Commerce, SaaS, Web Technology",501–1k people,Private,None,None,"Hamburg,Deutschland","['php', 'laravel', 'symfony', 'agile', 'api']"
Full-time,None,Backend Developer,None,None,None,None,None,"Kolkata,India","['php', 'api', 'javascript']"
Full-time,"Mid-Level, Senior",Full Stack Developer,"Education Technology, eLearning, Web Technology",51–200 people,Private,None,None,"Köln,Deutschland","['reactjs', 'javascript', 'node.js', 'react-native', 'amazon-web-services']"
Full-time,None,QA/Test Developer,None,None,None,None,None,"Pune,India","['qa', 'testing', 'automated-tests']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Hyderabad,India","['java', 'jsp', 'automation']"
Full-time,Senior,Data Scientist,"Electronics, Industrial Automation, Software Development / Engineering",10k+ people,Public,None,None,"Shannon,Ireland","['machine-learning', 'testing']"
Full-time,"Mid-Level, Senior","Backend Developer, Database Administrator","Enterprise Software, Financial Services, Financial Technology",11–50 people,VC Funded,€60k - 75k (Euros),None,"Hamburg,Germany","['typescript', 'graphql', 'etl', 'api-design', 'amazon-web-services']"
Full-time,Senior,Mobile Developer,"Enterprise Software, Information Technology, Telecommunications",501–1k people,Public,None,None,"Stockholm,Sweden","['c++', 'objective-c', 'swift', 'ios', 'android']"
Full-time,"Mid-Level, Senior",Mobile Developer,"Fashion, Marketplace",11–50 people,VC Funded,£65k - 85k (British Pounds),None,"London,UK","['ios', 'iphone', 'swift', 'objective-c', 'reactive-swift']"
Full-time,Senior,DevOps,"E-Commerce, Enterprise Software, Software Development",201–500 people,Private,None,None,"Amsterdam,Netherlands","['amazon-web-services', 'java', 'kubernetes', 'scripting', 'unix']"
Full-time,"Mid-Level, Senior",Backend Developer,"Online Scheduling, Software Development, School software",51–200 people,Private,€50k - 65k (Euros),None,"Stockerau,Österreich","['java', 'spring', 'java-ee']"
Full-time,None,Database Administrator,None,None,None,None,None,"ChuoCity,Japan","['c++', 'c', 'oracle']"
Full-time,"Mid-Level, Senior",Mobile Developer,"Information Technology, Newspapers, Publishing",1k–5k people,Private,£50k - 70k (British Pounds),On-siteandlimitedremote,"London,VereinigtesKönigreich",[]
Full-time,None,Frontend Developer,None,None,None,None,None,"Hyderabad,India","['reactjs', 'user-interface', 'design']"
Full-time,"Mid-Level, Senior","Backend Developer, Full Stack Developer","Healthcare, Medical, Medical Software",11–50 people,Private,£50k - 80k (British Pounds),On-siteandlimitedremote,"London,UK",[]
Full-time,"Junior, Mid-Level",Backend Developer,"Agile Software Development, Autonomous Driving, Robotics",11–50 people,Private,None,None,"Karlsruhe,Deutschland","['c++', 'qt', 'linux', 'oop', 'scrum']"
Full-time,None,Frontend Developer,None,None,None,None,None,"Hyderabad,India","['javascript', 'jquery', 'css']"
Full-time,Senior,QA/Test Developer,"Finance, Mobile Payments, Point of Sale",51–200 people,Private,None,None,"Munich,Germany","['agile', 'automation', 'qa']"
Full-time,Senior,Backend Developer,"Software Development / Engineering, Sports Technology",201–500 people,Private,€40k - 60k (Euros),None,"Barcelona,Spain","['c#', 'java', 'go', 'erlang', 'elixir']"
Full-time,None,Product Manager,"Machine Learning, Mobile, Software Development / Engineering",10k+ people,Public,None,None,"MenloPark,CA","['project-management', 'design', 'web-services']"
Full-time,"Mid-Level, Senior",Mobile Developer,"Advertising Technology, Digital Media, E-Commerce",5k–10k people,Private,None,None,"München,Deutschland","['java', 'kotlin', 'swift', 'ci', 'cd']"
Full-time,"Mid-Level, Senior","DevOps, Frontend Developer","Big Data, Information Technology, Online Travel",51–200 people,None,None,None,"München,Germany","['reactjs', 'python', 'hadoop', 'kubernetes', 'javascript']"
Full-time,None,QA/Test Developer,None,None,None,None,None,"Hyderabad,India","['selenium', 'automation', 'qa']"
Full-time,Senior,Backend Developer,"Agile Software Development, Computer Software, Mobile Development",11–50 people,Private,None,On-siteandlimitedremote,"Montevideo,Uruguay",[]
Full-time,None,Mobile Developer,None,None,None,None,None,"Faridabad,India","['android', 'php', 'mobile']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Pune,India","['android', 'mobile', 'php']"
Full-time,"Mid-Level, Senior, Lead","Designer, Frontend Developer","Creative Services, Digital Agency, Web Design",11–50 people,Private,$75k - 100k (US Dollars),None,"Boston,MA","['wordpress', 'php', 'sass', 'javascript', 'accessibility']"
Full-time,None,Full Stack Developer,None,None,None,None,None,"Noida,India","['php', 'wordpress']"
Full-time,"Junior, Mid-Level, Senior",Full Stack Developer,"Information Technology, Shipping, Software Development",51–200 people,Private,None,None,"Hamburg,Deutschland","['c#', 'visual-studio', 'javascript', 'angular', 'sql-server']"
Full-time,Senior,"Data Scientist, Full Stack Developer",None,None,None,None,None,"München,Deutschland","['r', 'javascript']"
Full-time,Senior,Embedded Developer,"Embedded, Hardware Engineering, Software Development / Engineering",51–200 people,Private,None,None,"GrandRapids,MI","['fpga', 'vhdl', 'vivado', 'verilog', 'embedded']"
Full-time,"Junior, Mid-Level","Backend Developer, Data Scientist, Frontend Developer",None,None,None,None,None,"Geesthacht,Deutschland","['machine-learning', 'mysql', 'python', 'javascript', 'php']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Pune,India","['php', 'android']"
Full-time,"Mid-Level, Senior","Designer, Frontend Developer",None,None,None,None,None,"Berlin,Deutschland","['reactjs', 'angularjs', 'vue.js', 'user-experience', 'react-redux']"
Full-time,None,Full Stack Developer,None,None,None,None,None,"Hyderabad,India","['java', 'reactjs', 'javascript']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Sapporo,Japan","['objective-c', 'swift', 'php']"
Full-time,Senior,Embedded Developer,"Electronics, Industrial Automation, Software Development / Engineering",10k+ people,Public,None,None,"Fremont,CA","['c++', 'c']"
Full-time,Mid-Level,Full Stack Developer,"eCommerce, Entertainment, Gaming",51–200 people,Private,None,None,"London,UK","['php', 'linux', 'node.js', 'mysql', 'redis']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Nagoya,Japan","['reactjs', 'laravel', 'swift']"
Contract,"Senior, Lead, Manager",DevOps,"Assessment, Human Resources, Technology Staffing",51–200 people,Private,None,Remote,Noofficelocation,"['azure-devops', 'continuous-integration', 'continuous-deployment', 'azure-automation', 'docker']"
Full-time,"Mid-Level, Senior","Full Stack Developer, Graphics/Game Developer","3D Models, Medical Devices, Medical Imaging",11–50 people,Private,None,None,"Knoxville,TN","['c++', 'qt', 'user-interface', 'unit-testing', 'multithreading']"
Full-time,"Mid-Level, Senior","Backend Developer, Frontend Developer","Banking, Finance, Financial Technology",1k–5k people,None,None,None,"Nürnberg,Deutschland","['java-ee', 'rest', 'html', 'java', 'wicket']"
Full-time,"Senior, Lead",Mobile Developer,"eCommerce, Food & Beverage, Logistics & Distribution",10k+ people,Public,None,None,"Berlin,Germany","['ios', 'objective-c', 'swift', 'cocoa', 'xcode']"
Full-time,Senior,DevOps,"Electronics, Software Development, Software Development / Engineering",501–1k people,Private,None,None,"SanktJohannimPongau,Österreich","['infrastructure', 'microservices', 'deployment', 'web-applications']"
Full-time,"Junior, Mid-Level, Senior",Backend Developer,"Cloud Services, Messaging, SaaS",11–50 people,Private,None,None,"Karlsruhe,Germany","['java', 'json', 'api']"
Full-time,"Mid-Level, Senior",Backend Developer,"Industrial Automation, Internet of Things",201–500 people,Private,None,None,"Berlin,Germany","['scala', 'rest', 'swagger', 'sql', 'nosql']"
Full-time,Lead,Backend Developer,"Finance, Financial Technology, Mobile Payments",1k–5k people,Private,None,None,"Pinheiros,Brazil","['java', 'spring-boot', 'amazon-web-services', 'backend', 'microservices']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Lucknow,India","['android', 'ios', 'mobile']"
Full-time,Mid-Level,"Backend Developer, Full Stack Developer","Legal Technology, Talent Marketplace",1k–5k people,Private,None,None,"Bellevue,WA","['reactjs', 'javascript', 'node.js', 'api']"
Full-time,None,Data Scientist,None,None,None,None,None,"Hyderabad,India","['python', 'django', 'r']"
Full-time,None,Product Manager,None,None,None,None,None,"Frankfurt,Germany",[]
Full-time,None,Mobile Developer,None,None,None,None,None,"Nagoya,Japan","['ios', 'javascript', 'php']"
Full-time,Lead,Frontend Developer,"Agile Software Development, Artificial Intelligence, Travel Planning",51–200 people,VC Funded,None,None,"Berlin,Deutschland","['angular', 'javascript']"
Full-time,"Junior, Mid-Level, Senior","Frontend Developer, Mobile Developer","Hospitality, Information Technology",11–50 people,Public,€36k - 78k (Euros),None,"Amsterdam,Netherlands","['javascript', 'ios', 'android', 'angular', 'ionic2']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Bengaluru,India","['android', 'ios', 'objective-c']"
Full-time,Senior,Frontend Developer,"Healthcare, Pharmaceuticals",10k+ people,Private,None,None,"Biberach,Germany","['reactjs', 'typescript', 'python']"
Contract,Mid-Level,Mobile Developer,"HR Services, IT Recruitment, SaaS",51–200 people,Private,None,None,"Paris,France","['python', 'javascript', 'c', 'android', 'kivy']"
Full-time,"Mid-Level, Senior",Frontend Developer,"Data Analysis, Health Care, Software Development",11–50 people,Public,None,Remote,"Oslo,Norway",[]
Full-time,None,Frontend Developer,"Software Development, Telecommunications, Web Development",10k+ people,Private,None,None,"Solna,Sweden","['javascript', 'agile', 'vue.js']"
Full-time,Mid-Level,DevOps,Electronics,51–200 people,Private,None,None,"Zürich,Switzerland","['linux', 'python', 'kvm', 'gitlab', 'jenkins']"
Full-time,"Junior, Mid-Level, Senior",QA/Test Developer,"Digital Health, Life Sciences, Medical",10k+ people,Private,None,None,"Schweinfurt,Deutschland","['c++', 'python', 'automated-tests']"
Full-time,"Junior, Mid-Level, Senior",DevOps,"Architecture, Consulting, Software Development / Engineering",201–500 people,Private,€60k - 90k (Euros),None,"Köln,Deutschland","['agile', 'artificial-intelligence', 'bigdata', 'cloud', 'devops']"
Full-time,"Junior, Mid-Level, Senior","DevOps, System Administrator","Ad Tech, Advertising Technology, AI Research",1k–5k people,Public,None,None,"Paris,France","['automation', 'linux', 'chef', 'dhcp', 'dns']"
Full-time,Senior,Frontend Developer,"Business to Business, Cloud-Based Solutions, Human Resources",11–50 people,VC Funded,€60k - 75k (Euros),None,"Berlin,Deutschland","['reactjs', 'javascript', 'web-standards', 'continuous-integration', 'continuous-deployment']"
Full-time,None,System Administrator,None,None,None,None,None,"Odawara,Japan","['go', 'ruby', 'amazon-web-services']"
Internship,Student,"Backend Developer, Embedded Developer","Artificial Intelligence, B2B, SaaS",11–50 people,VC Funded,None,None,"Hamburg,Deutschland","['c++', 'embedded']"
Full-time,Senior,Full Stack Developer,"Banking, Finance, Financial Services",1k–5k people,Public,€38k - 58k (Euros),None,"'s-Hertogenbosch,Netherlands","['java', 'spring', 'spring-boot', 'mockito', 'angular']"
Full-time,None,Frontend Developer,None,None,None,None,None,"Chennai,India","['php', 'jquery', 'html']"
Full-time,None,Frontend Developer,None,None,None,None,None,"Indore,India","['php', 'ajax', 'jquery']"
Full-time,"Junior, Mid-Level, Senior",Backend Developer,"Electronics, Information Technology, Software Development / Engineering",1k–5k people,Public,None,None,"Aarau,Schweiz","['c#', '.net', 'visual-studio', 'api', 'c++']"
Full-time,None,Mobile Developer,"Computer Vision, Machine Learning",1k–5k people,Public,None,None,"SanFrancisco,CA","['android', 'java', 'mobile']"
Full-time,"Mid-Level, Senior, Lead",Frontend Developer,None,None,None,£60k - 100k (British Pounds),None,"London,UK","['reactjs', 'javascript', 'html', 'css', 'sass']"
Full-time,None,"Full Stack Developer, Mobile Developer",None,None,None,None,None,"Hyderabad,India","['ios', 'design', 'python']"
Full-time,None,Mobile Developer,None,None,None,None,None,"ShinagawaCity,Japan","['ios', 'android', 'swift']"
Full-time,Senior,Frontend Developer,"Logistics & Distribution, Retail",10k+ people,Private,€55k - 65k (Euros),None,"Veghel,Netherlands","['vue.js', 'frontend', 'scrum', 'microservices', 'javascript']"
Full-time,None,DevOps,None,None,None,None,None,"Hyderabad,India","['cloud', 'amazon-web-services', 'python']"
Full-time,"Mid-Level, Senior",Backend Developer,"Mobile Application, Software Development / Engineering, Telecommunications",11–50 people,Private,None,None,"Manchester,UK","['node.js', 'javascript', 'amazon-web-services']"
Full-time,Senior,Product Manager,"Electronics, Industrial Automation, Software Development / Engineering",10k+ people,Public,None,None,"Pune,India","['project-management', 'web-services']"
Full-time,"Junior, Mid-Level, Senior",Backend Developer,Energy & Utilities,11–50 people,Private,None,None,"Berlin,Deutschland","['django', 'python']"
Full-time,Senior,Backend Developer,"Blockchain, Computer Games",11–50 people,VC Funded,A$120k - 150k (Australian Dollars),None,"SurryHills,Australia","['go', 'node.js', 'postgresql']"
Full-time,"Senior, Lead, Manager",Backend Developer,"Construction, Digital Marketing",10k+ people,Private,None,None,"Boulogne-Billancourt,France","['api', 'java', 'spring']"
Full-time,"Student, Junior","Backend Developer, Data Scientist","Big Data, Travel & Tourism",11–50 people,Private,None,None,"Cambridge,MA","['r', 'python', 'mysql', 'excel', 'statistics']"
Full-time,Mid-Level,"Graphics/Game Developer, Mobile Developer","Android, Computer Games, Mobile",11–50 people,Private,None,None,"Cambridge,MA","['c++', 'python', 'c#', 'go', 'sql']"
Full-time,"Junior, Mid-Level",Frontend Developer,Consulting,10k+ people,None,$80k - 120k (US Dollars),None,"NewYork,NY","['javascript', 'reactjs', 'ajax']"
Full-time,"Mid-Level, Senior","Backend Developer, Product Manager","B2B, HR Services, SaaS",201–500 people,Private,None,None,"Paris,France","['design', 'user-interface', 'api-design']"
Full-time,Senior,"DevOps, System Administrator",Information Technology,201–500 people,Private,None,None,"Berlin,Germany","['amazon-web-services', 'python', 'go', 'kubernetes']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Bengaluru,India","['swift', 'c++', 'ios']"
Full-time,None,DevOps,None,None,None,None,None,"ShibuyaCity,Japan","['ruby', 'ruby-on-rails', 'ansible']"
Full-time,None,Full Stack Developer,None,None,None,None,None,"Mumbai,India","['php', 'css', 'javascript']"
Full-time,None,Frontend Developer,None,None,None,None,None,"Bengaluru,India","['java', 'agile']"
Full-time,Mid-Level,DevOps,"HR Services, IT Recruitment, SaaS",51–200 people,Private,None,None,"Bucharest,Romania","['c#', '.net', 'agile', 'devops', 'amazon-web-services']"
Full-time,None,Mobile Developer,None,None,None,None,None,"MinatoCity,Japan","['java', 'jira', 'android']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Fukuyama,Japan","['php', 'java', 'ios']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Osaka,Japan","['java', 'ruby', 'android']"
Full-time,None,Designer,None,None,None,None,None,"Coimbatore,India","['user-interface', 'javascript', 'user-experience']"
Full-time,None,"Graphics/Game Developer, Mobile Developer",Consumer Electronics,10k+ people,Public,None,None,"Cupertino,CA","['c#', 'objective-c', 'unity3d']"
Full-time,"Junior, Mid-Level, Senior","Frontend Developer, Mobile Developer","Medical Devices, Medical Software",51–200 people,Private,€30k - 39k (Euros),None,"Pirmasens,Deutschland","['java', 'libgdx', 'android', 'xamarin', 'user-interface']"
Full-time,"Mid-Level, Senior",Embedded Developer,"Agile Software Development, Cloud-Based Solutions, Computer Software",1k–5k people,Public,None,None,"Dublin1,Ireland","['c', 'go', 'c++', 'linux', 'embedded']"
Full-time,None,Frontend Developer,None,None,None,None,None,"KotoCity,Japan","['python', 'java', 'javascript']"
Full-time,None,Database Administrator,None,None,None,None,None,"Kamakura,Japan","['oracle', 'java']"
Full-time,"Mid-Level, Senior",QA/Test Developer,"Advertising Technology, Digital Media, E-Commerce",5k–10k people,Private,None,None,"München,Deutschland","['node.js', 'javascript', 'testing']"
Full-time,"Senior, Lead",Full Stack Developer,"Internet Classifieds, Real Estate, Web Development",11–50 people,Private,€48k - 60k (Euros),None,"Cluj-Napoca,Romania","['react', 'python', 'postgresql', 'javascript', 'django']"
Full-time,None,Full Stack Developer,None,None,None,None,None,"Kolkata,India","['laravel', 'php', 'angularjs']"
Full-time,"Junior, Mid-Level, Senior",Full Stack Developer,"Consulting, Information Technology",1k–5k people,Private,€45k - 80k (Euros),None,"Wiesbaden,Deutschland","['c#', '.net-core', 'asp.net-core', 'microservices', 'docker']"
Full-time,"Mid-Level, Senior",Full Stack Developer,"Cybersecurity, Information Technology, Software Development",51–200 people,Private,None,None,"Columbia,MD","['javascript', 'amazon-web-services', 'nosql', 'oop', 'agile']"
Full-time,Mid-Level,Frontend Developer,"Enterprise Software, Real Estate",51–200 people,VC Funded,None,None,"SanFrancisco,CA","['user-interface', 'javascript', 'css', 'html', 'node.js']"
Full-time,Senior,DevOps,None,None,None,None,None,"Berlin,Deutschland","['unix', 'window', 'infrastructure', 'operating-system']"
Full-time,None,Data Scientist,Consumer Electronics,10k+ people,Public,None,None,"Cupertino,CA","['machine-learning', 'algorithm', 'python', 'neural-network', 'tensorflow']"
Full-time,Mid-Level,"Backend Developer, Full Stack Developer","Financial Services, Financial Technology, Software Development / Engineering",51–200 people,VC Funded,None,None,"NewYork,NY","['scala', 'aws', 'mongodb', 'postgresql', 'architecture']"
Full-time,"Junior, Mid-Level",System Administrator,"Energy & Environment, Non-Profit, Science",1k–5k people,Public,$67k - 85k (US Dollars),None,"Wien,Austria","['windows-10', 'powershell', 'vmware', 'vdi']"
Full-time,"Junior, Mid-Level",Mobile Developer,"Digital Health, Healthcare, Software Development",501–1k people,Private,None,None,"Amsterdam,Netherlands","['c#', 'xamarin', 'xaml', 'visual-studio']"
Full-time,None,Frontend Developer,None,None,None,None,None,"Bengaluru,India","['windows', 'cloud', 'jquery']"
Full-time,None,Full Stack Developer,None,None,None,None,Remote,"Scottsdale,AZ",[]
Full-time,"Mid-Level, Senior",Product Manager,Media,501–1k people,Private,None,None,"Zürich,Switzerland",['agile']
Full-time,"Mid-Level, Senior",Full Stack Developer,"Business to Business, Computer Software, Social Networking",11–50 people,VC Funded,$70 - 110 (US Dollars),Remote,"SanFrancisco,CA",[]
Full-time,None,DevOps,None,None,None,None,None,"Hyderabad,India","['go', 'jenkins', 'javascript']"
Full-time,"Mid-Level, Senior",Full Stack Developer,"Artificial Intelligence, Health Care, Information Technology",11–50 people,VC Funded,C$75k - 95k (Canadian Dollars),On-siteandlimitedremote,"Toronto,ON,Canada",[]
Full-time,None,Mobile Developer,None,None,None,None,None,"Machida,Japan","['cocoa', 'ios', 'objective-c']"
Full-time,"Junior, Mid-Level, Senior",Frontend Developer,"Computer Software, Data & Analytics, Information Technology",201–500 people,Private,None,On-siteandlimitedremote,"Ratingen,Deutschland",[]
Full-time,"Senior, Lead",Data Scientist,"Agile Software Development, Marketing Software",51–200 people,Private,€70k - 90k (Euros),None,"München,Deutschland","['agile', 'data-science', 'nlp', 'python']"
Full-time,"Student, Junior, Mid-Level",System Administrator,"AI Research, Data & Analytics, Industrial Automation",10k+ people,Public,None,None,"Berlin,Germany","['sql', 'cloud', 'database', 's4', 'sysadmin']"
Full-time,None,Product Manager,"Machine Learning, Mobile, Software Development / Engineering",10k+ people,Public,None,None,"FortWorth,TX",['project-management']
Full-time,None,Database Administrator,None,None,None,None,None,"Yokohama,Japan","['java', 'sql', 'oracle']"
Full-time,"Senior, Lead, Manager",Backend Developer,"Software Development, Web Design",51–200 people,Private,None,Remote,Noofficelocation,[]
Full-time,"Mid-Level, Senior",Frontend Developer,"Recreation & Leisure, SaaS, Web Development",11–50 people,Public,None,On-siteandlimitedremote,"Enschede,Netherlands",[]
Full-time,Mid-Level,"Backend Developer, DevOps",None,None,None,£36k - 42k (British Pounds),None,"Eindhoven,Netherlands","['java', 'spring', 'hibernate', 'jsf', 'linux']"
Full-time,"Mid-Level, Senior, Lead",Backend Developer,"Computer Software, Food & Beverage",11–50 people,VC Funded,None,Remote,Noofficelocation,[]
Full-time,Senior,Backend Developer,"Data & Analytics, Enterprise Software, Rail Industry",51–200 people,VC Funded,€70k - 80k (Euros),None,"Munich,Germany","['java', 'amazon-web-services', 'docker', 'nosql', 'sql']"
Full-time,"Junior, Mid-Level, Senior",Full Stack Developer,Beauty,11–50 people,VC Funded,None,On-siteandlimitedremote,"Essen,Deutschland",[]
Full-time,Mid-Level,QA/Test Developer,"Enterprise Software, Information Technology",51–200 people,Private,None,On-siteandlimitedremote,"Edinburgh,UK",[]
Full-time,"Mid-Level, Senior",Backend Developer,"Energy & Utilities, SaaS, Software Development",11–50 people,VC Funded,None,None,"Houten,Netherlands","['python', 'saas', 'google-cloud-platform', 'google-bigquery', 'mysql']"
Full-time,None,QA/Test Developer,None,None,None,None,None,"Osaka,Japan","['python', 'sql']"
Full-time,None,Frontend Developer,None,None,None,None,None,"Osaka,Japan","['php', 'javascript', 'jquery']"
Full-time,"Mid-Level, Senior",DevOps,Health Care,11–50 people,Private,None,None,"Centurion,SouthAfrica","['azure', 'asp.net-web-api', 'continuous-integration', 'c#']"
Full-time,Mid-Level,Full Stack Developer,"Information Technology, Mobile Application, Web Development",11–50 people,Public,None,None,"Columbus,OH","['ruby-on-rails', 'java', 'php', 'html', 'css']"
Full-time,"Mid-Level, Senior",Mobile Developer,"eCommerce, Price Comparison, Travel & Tourism",51–200 people,VC Funded,€50k - 70k (Euros),None,"Köln,Deutschland","['ios', 'swift', 'rest', 'json']"
Full-time,"Mid-Level, Senior",Backend Developer,"Automotive, Hardware Development, Software Development / Engineering",51–200 people,Private,None,None,"Netphen,Deutschland","['node.js', 'typescript', 'microservices', 'streaming', 'rest']"
Full-time,Mid-Level,"Embedded Developer, System Administrator","Hardware Engineering, Semiconductors, Software Development / Engineering",5k–10k people,Private,None,None,"Cambridge,UK","['automotive', 'architecture', 'cpu', 'performance', 'sysadmin']"
Full-time,Senior,"Backend Developer, Product Manager","Energy & Utilities, Energy Storage, renewables",501–1k people,VC Funded,€50k - 70k (Euros),On-siteandlimitedremote,"Berlin,Germany",[]
Full-time,"Junior, Mid-Level, Senior",Full Stack Developer,"IT Consulting, Software Development",501–1k people,None,None,None,"Bonn,Deutschland","['java', 'javascript', 'node.js', 'kotlin', 'docker']"
Full-time,Senior,"DevOps, System Administrator",Advertising Technology,51–200 people,Private,£70k - 100k (British Pounds),On-siteandlimitedremote,"London,UK",[]
Full-time,None,"DevOps, System Administrator",None,None,None,None,None,"ShinjukuCity,Japan","['python', 'perl', 'nginx']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Ahmedabad,India","['angularjs', 'android', 'java']"
Full-time,Senior,Data Scientist,"Cybersecurity, Government, IT Security",1k–5k people,Public,None,None,"Stockholm,Sweden","['ruby', 'python', 'machine-learning', 'docker', 'linux']"
Full-time,"Junior, Mid-Level, Senior",Desktop Developer,"Real Estate, Software Development",11–50 people,Private,None,None,"Berlin,Deutschland","['delphi', 'sql', 'xml']"
Full-time,None,"Data Scientist, Mobile Developer",None,None,None,None,None,"ShibuyaCity,Japan","['objective-c', 'r', 'ios']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Coimbatore,India","['android', 'mobile', 'php']"
Full-time,"Mid-Level, Senior",DevOps,"Agile Software Development, Computer Software, Mobile Development",11–50 people,Private,None,None,"Montevideo,Uruguay","['python', 'elasticsearch', 'redis', 'jenkins', 'travis-ci']"
Full-time,Senior,DevOps,"Big Data, Data Science, Software Development / Engineering",51–200 people,VC Funded,None,None,"SantaBarbara,CA","['amazon-web-services', 'python', 'ruby', 'salt-stack', 'docker']"
Full-time,None,Backend Developer,None,None,None,None,None,"Hyderabad,India","['jira', 'java', 'rest']"
Full-time,"Senior, Lead","DevOps, System Administrator","Artificial Intelligence, Enterprise Software, it & service",51–200 people,Public,None,None,"München,Germany","['amazon-web-services', 'devops', 'cloud', 'linux', 'sysadmin']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Chandigarh,India","['java', 'android', 'clojure']"
Full-time,Mid-Level,Full Stack Developer,None,None,None,None,None,"Tampa,FL","['java', 'javascript', 'user-interface']"
Full-time,"Senior, Lead",Data Scientist,"Computer Software, Mobile Application, Web Development",11–50 people,Private,$60k - 120k (US Dollars),None,"Kowloon,HongKong","['pytorch', 'tensorflow', 'coreml', 'scikit-learn', 'numpy']"
Full-time,"Junior, Mid-Level, Senior",Frontend Developer,"SaaS, Software Development",11–50 people,Private,€40k - 70k (Euros),None,"Bielefeld,Deutschland","['typescript', 'javascript', 'html', 'css', 'angularjs']"
Full-time,"Mid-Level, Senior, Lead","Full Stack Developer, Mobile Developer","Agile Software Development, Defence & Security, Network Engineering",51–200 people,Private,None,None,"McLean,VA","['angularjs', 'node.js', 'java', 'angular', 'android']"
Full-time,"Junior, Mid-Level",Backend Developer,Telecommunications,10k+ people,Private,None,None,"Montreal,QC,Canada","['python', 'java', 'sql', 'bigdata']"
Full-time,Senior,Full Stack Developer,"Software Consulting, Software Development / Engineering",1k–5k people,Private,None,None,"Tampere,Finland","['reactjs', 'agile', 'node.js', 'web-technologies', 'javascript']"
Full-time,"Mid-Level, Senior",Embedded Developer,Software Development,51–200 people,VC Funded,None,None,"Köln,Deutschland","['hls', 'eda', 'fpga', 'c++', 'vhdl']"
Full-time,Mid-Level,Backend Developer,"Ad Tech, Marketplace, Platforms",1k–5k people,Public,None,None,"Paris,France","['java', 'api', 'postgresql']"
Full-time,None,Mobile Developer,None,None,None,None,None,"ChiyodaCity,Japan","['mysql', 'ios', 'c++']"
Full-time,None,"Backend Developer, Full Stack Developer",None,None,None,None,None,"Zürich,Switzerland","['php', 'symfony2', 'zend-framework']"
Full-time,None,Frontend Developer,None,None,None,None,None,"Atsugi,Japan","['javascript', 'java', 'backbone.js']"
Full-time,"Mid-Level, Senior, Lead","Full Stack Developer, System Administrator","Cybersecurity, Information Technology, Software Development / Engineering",1k–5k people,Public,£80k - 100k (British Pounds),On-siteandlimitedremote,"London,UK",[]
Full-time,None,System Administrator,None,None,None,None,None,"MinatoCity,Japan","['php', 'perl', 'apache']"
Full-time,None,System Administrator,"Machine Learning, Mobile, Software Development / Engineering",10k+ people,Public,None,None,"MenloPark,CA","['sysadmin', 'design', 'c']"
Full-time,"Mid-Level, Senior",QA/Test Developer,"Casino, Gambling, Gaming",1k–5k people,Private,€48k - 70k (Euros),On-siteandlimitedremote,"Wien,Österreich",[]
Full-time,"Senior, Lead, Manager",Data Scientist,"Cybersecurity, Data & Analytics, Government",501–1k people,Public,None,None,Singapore,"['hadoop', 'elasticsearch', 'bigdata', 'hive', 'hbase']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Sapporo,Japan","['php', 'objective-c', 'c++']"
Full-time,"Junior, Mid-Level",Frontend Developer,Computer Software,11–50 people,Private,None,None,"Sofia,Bulgarien","['javascript', 'react-native', 'angular', 'java']"
Full-time,None,Product Manager,None,None,None,None,None,"Chennai,India","['php', 'wordpress', 'project-management']"
Full-time,"Mid-Level, Senior, Lead",Backend Developer,"Construction, Digital Marketing",10k+ people,Private,None,None,"Boulogne-Billancourt,France","['java', 'spring-boot', 'spring', 'junit']"
Full-time,"Mid-Level, Senior",Full Stack Developer,"B2B, Logistics & Distribution, Transportation",201–500 people,VC Funded,None,None,"Kowloon,HongKong","['javascript', 'reactjs', 'css']"
Full-time,Senior,"Backend Developer, QA/Test Developer","Advertising Technology, Digital Media, E-Commerce",5k–10k people,Private,None,None,"München,Deutschland","['tdd', 'cucumber', 'typescript', 'node.js', 'amazon-web-services']"
Full-time,Mid-Level,"Frontend Developer, Full Stack Developer","Cloud Services, Embedded, Internet of Things",51–200 people,Private,None,None,"Köln,Deutschland","['html5', 'css3', 'svg', 'angular', 'vue.js']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Hyderabad,India","['c#', 'asp.net', 'xamarin']"
Full-time,None,"Designer, Frontend Developer",None,None,None,None,None,"Hyderabad,India","['reactjs', 'user-experience', 'user-interface']"
