job_type,experience,role,industry,company_size,company_type,salary,remote,location,tags
Full-time,"Junior, Mid-Level, Senior",Frontend Developer,"Agile Software Development, DevOps, IT Consulting",51–200 people,Private,€45k - 75k (Euros),On-siteandlimitedremote,"Wolfsburg,Deutschland",[]
Full-time,"Mid-Level, Senior",Desktop Developer,"Enterprise Software, Financial Technology",1k–5k people,Public,None,None,"Melbourne,Australia","['c++', 'sql']"
Full-time,Mid-Level,Backend Developer,"Legal Technology, Talent Marketplace",1k–5k people,Private,None,None,"Bellevue,WA","['node.js', 'api', 'javascript']"
Full-time,"Junior, Mid-Level, Senior","Backend Developer, Full Stack Developer","Business Intelligence, Enterprise Software, Government",201–500 people,Private,€42k - 90k (Euros),On-siteandlimitedremote,"Erfurt,Deutschland",[]
Full-time,"Mid-Level, Senior, Lead",Mobile Developer,"Cloud Services, Information Technology",10k+ people,Public,None,None,"Vancouver,BC,Canada","['ios', 'android', 'mobile', 'c++']"
Full-time,Mid-Level,Backend Developer,"Communications, Creative Services, Travel & Tourism",51–200 people,Private,€35k - 45k (Euros),On-siteandlimitedremote,"Milano,Italy",[]
Full-time,None,Mobile Developer,None,None,None,None,None,"Narita,Japan","['android', 'ios', 'swift']"
Full-time,None,Mobile Developer,None,None,None,None,None,"ChiyodaCity,Japan","['ios', 'java', 'reactjs']"
Full-time,Senior,DevOps,"Agile Software Development, Banking, Insurance",201–500 people,Private,None,None,"München,Deutschland","['php', 'node.js', 'linux', 'continuous-deployment']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Bengaluru,India","['android', 'java', 'spring']"
Full-time,"Mid-Level, Senior",Backend Developer,"Agriculture, Food & Beverage, Information Technology",10k+ people,Public,None,None,"Porto,Portugal","['java', '.net', 'c#', 'web-development-server']"
Full-time,None,Mobile Developer,None,None,None,None,None,"SahibzadaAjitSinghNagar,India","['reactjs', 'javascript', 'android']"
Full-time,"Mid-Level, Senior",Full Stack Developer,"Healthcare, Software Development",51–200 people,Private,None,On-siteandlimitedremote,"Vancouver,BC,Canada",[]
Full-time,Senior,"Frontend Developer, QA/Test Developer","eCommerce, Enterprise Software, Web Technology",51–200 people,VC Funded,None,Remote,Noofficelocation,"['typescript', 'reactjs', 'graphql', 'testing']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Chennai,India","['ios', 'reactjs', 'objective-c']"
Full-time,Mid-Level,Full Stack Developer,"Artificial Intelligence, Recruiting",11–50 people,VC Funded,$110 - 150 (US Dollars),None,"NewYork,NY","['javascript', 'python', 'vue', 'react', 'angular']"
